"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","VIS"
"03/04/2017","00:00","06.6","230","07.1","10.1","10.5","1025.9","2.17","20"
"03/04/2017","00:05","06.5","235","07.0","10.1","10.6","1026.0","2.18","21"
"03/04/2017","00:10","06.2","239","06.4","10.1","10.6","1025.9","2.19","23"
"03/04/2017","00:15","06.5","238","07.0","10.1","10.6","1026.0","2.20","23"
"03/04/2017","00:20","06.1","239","06.4","10.2","10.6","1025.9","2.21","23"
"03/04/2017","00:25","06.4","240","07.0","10.1","10.6","1025.9","2.23","23"
"03/04/2017","00:30","06.4","239","06.7","10.1","10.6","1025.9","2.24","22"
"03/04/2017","00:35","06.9","243","07.2","10.1","10.6","1025.8","2.26","23"
"03/04/2017","00:45","06.6","248","07.0","10.1","10.5","1025.8","2.29","27"
"03/04/2017","00:50","05.6","245","06.1","10.0","10.6","1025.8","2.32","27"
"03/04/2017","00:55","06.1","247","06.5","09.9","10.6","1025.9","2.34","27"
"03/04/2017","01:00","05.9","248","06.2","09.9","10.6","1025.9","2.36","27"
"03/04/2017","06:10","00.4","184","01.0","07.8","10.3","1025.4","4.13","27"
"03/04/2017","06:15","00.4","189","01.3","07.7","10.2","1025.4","4.12","22"
"03/04/2017","06:20","00.6","171","01.3","07.7","10.4","1025.5","4.12","24"
"03/04/2017","06:25","01.2","113","01.3","07.8","10.1","1025.5","4.10","24"
"03/04/2017","06:30","01.5","125","01.7","08.0","10.2","1025.5","4.07","25"
"03/04/2017","06:35","01.5","131","01.7","08.1","10.2","1025.5","4.05","23"
"03/04/2017","06:40","01.0","144","01.7","08.0","10.0","1025.5","4.02","24"
"03/04/2017","06:45","00.5","190","01.5","08.1","10.0","1025.6","3.99","21"
"03/04/2017","06:50","00.8","188","01.8","08.2","10.0","1025.6","3.94","12"
"03/04/2017","06:55","01.2","186","02.2","08.2","10.0","1025.6","3.88","11"
"03/04/2017","07:05","01.2","181","02.3","07.9","09.9","1025.6","3.77","16"
"03/04/2017","07:10","00.4","195","01.2","08.1","09.9","1025.7","3.70","18"
"03/04/2017","07:15","00.7","187","01.8","08.4","09.9","1025.8","3.63","18"
"03/04/2017","07:20","03.7","090","03.9","08.6","09.9","1025.8","3.55","9"
"03/04/2017","07:25","03.7","093","04.0","08.5","09.9","1025.8","3.48","8"
"03/04/2017","07:30","04.0","096","04.5","08.4","09.9","1025.8","3.38","9"
"03/04/2017","07:35","03.1","096","03.4","08.4","09.9","1025.9","3.27","8"
"03/04/2017","07:40","04.3","094","04.5","08.4","09.9","1025.9","3.17","8"
"03/04/2017","07:45","03.2","123","03.4","08.5","09.9","1025.9","3.07","8"
"03/04/2017","07:50","00.9","209","01.8","08.5","09.9","1026.0","2.95","13"
"03/04/2017","07:55","01.6","187","03.3","08.5","09.9","1025.9","2.84","13"
"03/04/2017","08:00","01.0","208","02.5","08.3","09.9","1025.9","2.73","17"
"03/04/2017","08:05","01.3","170","03.0","08.2","09.8","1026.0","2.64","18"
"03/04/2017","08:10","00.9","179","02.7","08.4","09.9","1026.0","2.52","13"
"03/04/2017","08:15","01.6","183","03.7","08.5","09.9","1025.9","2.40","13"
"03/04/2017","08:20","00.9","205","02.2","08.6","09.9","1025.9","2.32","18"
"03/04/2017","08:25","01.0","178","02.5","08.7","09.9","1026.0","2.21","14"
"03/04/2017","08:30","01.0","191","02.8","08.9","10.0","1026.0","2.13","16"
"03/04/2017","08:35","01.0","169","02.0","09.4","10.4","1026.0","2.03","16"
"03/04/2017","08:40","00.7","205","01.5","10.2","10.4","1026.0","1.92","20"
"03/04/2017","08:45","00.4","229","02.4","10.5","10.1","1026.1","1.85","18"
"03/04/2017","08:50","03.1","189","05.7","10.1","10.2","1025.9","1.76","9"
"03/04/2017","09:00","01.9","188","02.9","09.4","10.2","1026.0","1.61","5"
"03/04/2017","09:05","03.3","179","05.0","09.4","10.3","1026.1","1.54","5"
"03/04/2017","09:10","02.9","190","04.6","09.2","10.3","1026.1","1.49","0.8"
"03/04/2017","09:15","03.4","186","06.3","09.1","10.3","1026.0","1.43","0.4"
"03/04/2017","09:20","03.2","172","05.0","09.3","10.4","1026.1","1.39","2.6"
"03/04/2017","09:25","02.1","182","02.6","09.5","10.4","1026.1","1.35","4.6"
"03/04/2017","09:30","01.2","177","02.3","09.7","10.4","1026.1","1.31","6"
"03/04/2017","09:35","00.8","176","02.2","09.9","10.4","1026.1","1.30","7"
"03/04/2017","09:40","02.3","202","03.1","10.0","10.4","1026.2","1.28","6"
"03/04/2017","09:45","02.1","210","03.0","09.8","10.4","1026.2","1.27","7"
"03/04/2017","09:50","01.2","171","02.1","10.1","10.4","1026.3","1.27","8"
"03/04/2017","09:55","00.1","336","00.4","10.9","10.4","1026.3","1.27","9"
"03/04/2017","10:00","01.5","085","01.9","10.9","10.4","1026.2","1.28","7"
"03/04/2017","10:05","02.2","087","02.5","10.1","10.2","1026.1","1.29","8"
"03/04/2017","10:10","02.3","088","02.7","09.9","10.5","1026.2","1.32","9"
"03/04/2017","10:15","01.6","111","01.9","09.9","10.6","1026.3","1.34","10"
"03/04/2017","10:20","02.8","106","03.5","09.9","10.0","1026.2","1.37","11"
"03/04/2017","10:25","02.7","108","03.0","09.8","09.9","1026.2","1.40","10"
"03/04/2017","10:30","03.2","098","03.3","09.9","09.9","1026.1","1.43","9"
"03/04/2017","10:35","03.8","110","04.3","10.0","09.9","1026.2","1.47","9"
"03/04/2017","10:40","03.7","112","04.2","10.0","10.0","1026.1","1.50","10"
"03/04/2017","10:45","03.4","130","04.6","10.3","10.6","1026.1","1.53","11"
"03/04/2017","10:50","03.4","120","03.9","10.3","10.1","1026.1","1.57","10"
"03/04/2017","10:55","03.0","129","03.6","10.3","10.2","1026.1","1.60","11"
"03/04/2017","11:00","05.6","138","06.6","10.6","10.2","1026.0","1.63","10"
"03/04/2017","11:05","07.6","125","08.1","10.0","10.2","1025.9","1.66","10"
"03/04/2017","11:10","09.0","110","09.9","09.4","10.2","1025.9","1.69","10"
"03/04/2017","11:15","08.5","112","09.1","09.4","10.3","1025.9","1.73","9"
"03/04/2017","11:25","08.4","110","09.3","09.1","10.3","1026.0","1.79","8"
"03/04/2017","11:30","11.2","096","12.0","09.1","10.3","1025.9","1.82","8"
"03/04/2017","11:35","09.8","077","17.5","07.4","10.3","854.8","1.85","8"
"03/04/2017","11:40","11.4","104","12.5","08.9","10.3","1025.8","1.88","7"
"03/04/2017","11:45","11.6","105","12.3","08.9","10.3","1025.8","1.90","7"
"03/04/2017","11:50","09.9","085","19.4","07.3","10.3","854.8","1.93","7"
"03/04/2017","11:55","12.8","104","13.2","08.7","10.3","1025.7","1.96","7"
"03/04/2017","12:00","12.3","104","13.7","08.6","10.3","1025.7","1.98","8"
"03/04/2017","12:05","11.8","107","12.1","08.7","10.3","1025.7","2.00","9"
"03/04/2017","12:10","11.3","108","12.1","09.0","10.2","1025.7","2.02","8"
"03/04/2017","12:15","11.0","107","12.4","08.9","10.2","1025.6","2.03","9"
"03/04/2017","12:20","10.3","108","11.8","08.9","10.2","1025.6","2.06","8"
"03/04/2017","12:25","11.2","108","11.8","08.9","10.2","1025.6","2.07","8"
"03/04/2017","12:30","08.7","103","09.5","08.9","10.2","1025.6","2.08","9"
"03/04/2017","12:35","08.5","105","09.1","09.0","10.2","1025.6","2.09","8"
"03/04/2017","12:40","08.4","108","09.4","09.1","10.2","1025.6","2.10","8"
"03/04/2017","12:45","08.4","109","09.3","08.9","10.2","1025.6","2.11","8"
"03/04/2017","12:50","09.2","105","10.2","09.0","10.2","1025.6","2.12","8"
"03/04/2017","12:55","11.1","104","11.8","09.0","10.2","1025.5","2.14","7"
"03/04/2017","13:00","11.4","104","12.3","09.0","10.2","1025.6","2.15","6"
"03/04/2017","13:05","12.4","094","13.0","08.6","10.2","1025.6","2.16","4.2"
"03/04/2017","13:10","10.7","111","11.2","08.8","10.2","1025.6","2.19","7"
"03/04/2017","13:15","09.7","113","11.1","08.7","10.2","1025.6","2.20","6"
"03/04/2017","13:20","11.0","102","12.9","08.8","10.2","1025.6","2.23","6"
"03/04/2017","13:25","11.4","101","12.3","08.8","10.2","1025.6","2.24","7"
"03/04/2017","13:30","09.2","104","10.4","09.1","10.2","1025.6","2.28","7"
"03/04/2017","13:35","06.0","097","07.0","09.1","10.2","1025.6","2.31","7"
"03/04/2017","13:40","06.0","098","07.4","09.4","10.2","1025.6","2.34","8"
"03/04/2017","13:45","07.5","108","08.5","09.3","10.2","1025.6","2.38","8"
"03/04/2017","13:50","09.0","119","09.4","09.2","10.2","1025.5","2.41","8"
"03/04/2017","13:55","06.0","131","07.1","09.5","10.2","1025.6","2.45","8"
"03/04/2017","14:00","10.4","111","11.6","09.2","10.1","1025.4","2.50","8"
"03/04/2017","14:05","09.7","103","11.0","09.1","10.2","1025.4","2.54","7"
"03/04/2017","14:10","06.8","097","08.8","09.4","10.2","1025.5","2.61","7"
"03/04/2017","14:15","07.3","091","08.4","09.5","10.1","1025.4","2.65","7"
"03/04/2017","14:20","10.6","089","12.1","09.4","10.1","1025.3","2.71","6"
"03/04/2017","14:25","10.1","106","10.9","09.4","10.1","1025.4","2.77","6"
"03/04/2017","14:30","09.5","094","10.6","09.5","10.1","1025.4","2.83","7"
"03/04/2017","14:35","10.3","097","11.0","09.3","10.1","1025.4","2.89","5"
"03/04/2017","14:40","07.7","104","08.2","09.4","10.1","1025.5","2.95","7"
"03/04/2017","14:45","02.8","167","04.0","09.8","10.1","1025.6","3.02","8"
"03/04/2017","14:50","08.8","264","11.8","09.7","10.1","1025.5","3.09","10"
"03/04/2017","14:55","09.2","268","10.2","09.4","10.1","1025.5","3.14","11"
"03/04/2017","15:00","09.8","264","10.9","09.2","10.1","1025.5","3.22","10"
"03/04/2017","15:05","08.8","270","09.8","09.2","10.1","1025.5","3.28","10"
"03/04/2017","15:10","09.6","271","10.7","09.1","10.1","1025.4","3.35","10"
"03/04/2017","15:15","09.2","269","11.3","09.2","10.1","1025.5","3.42","9"
"03/04/2017","15:20","11.6","276","12.8","09.2","10.1","1025.3","3.48","8"
"03/04/2017","15:25","13.5","269","14.9","09.1","10.2","1025.2","3.54","7"
"03/04/2017","15:35","11.5","276","12.1","09.1","10.1","1025.2","3.65","7"
"03/04/2017","15:40","13.3","273","14.4","09.2","10.2","1025.2","3.72","7"
"03/04/2017","15:45","12.5","272","14.1","09.3","10.1","1025.3","3.76","7"
"03/04/2017","15:50","13.2","264","15.0","09.2","10.2","1025.3","3.80","9"
"03/04/2017","15:55","13.4","266","14.2","09.1","10.2","1025.2","3.85","8"
"03/04/2017","16:00","13.8","266","14.4","09.1","10.1","1025.1","3.88","8"
