"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","VIS"
"31/03/2017","00:00","07.8","132","08.2","11.1","09.6","1011.6","3.52","15"
"31/03/2017","00:10","06.7","127","06.9","11.0","09.6","1011.5","3.63","15"
"31/03/2017","00:20","01.3","304","03.6","11.0","09.6","1011.5","3.84","17"
"31/03/2017","00:25","01.8","017","03.0","11.3","09.6","1011.5","4.01","23"
"31/03/2017","00:35","00.4","132","01.0","12.1","09.5","1011.4","4.14","27"
"31/03/2017","00:45","02.9","326","03.1","13.4","09.5","1011.3","4.32","27"
"31/03/2017","00:50","09.9","197","12.6","13.9","09.6","1011.2","4.45","27"
"31/03/2017","01:00","06.3","184","08.8","14.2","09.5","1010.9","4.54","27"
"31/03/2017","05:50","07.6","220","08.4","12.3","09.5","1009.3","2.46","23"
"31/03/2017","06:00","10.8","228","13.3","12.3","09.6","1009.2","2.31","23"
"31/03/2017","06:05","10.4","234","11.6","12.2","09.6","1009.1","2.16","23"
"31/03/2017","06:10","11.0","236","11.5","12.1","09.6","1009.1","2.05","20"
"31/03/2017","06:15","09.8","233","10.1","11.9","09.7","1009.1","1.91","21"
"31/03/2017","06:25","13.8","230","15.5","12.1","09.8","1009.1","1.67","23"
"31/03/2017","06:30","13.0","232","14.4","12.1","09.8","1008.9","1.45","16"
"31/03/2017","06:35","13.6","223","14.8","12.0","09.8","1009.0","1.38","13"
"31/03/2017","06:40","13.7","231","14.4","12.0","09.8","1008.9","1.27","11"
"31/03/2017","06:45","15.3","229","18.3","11.8","09.8","1008.9","1.20","11"
"31/03/2017","06:55","15.1","231","16.2","11.6","09.9","1009.0","1.10","10"
"31/03/2017","07:00","14.7","228","15.6","11.4","09.9","1009.0","1.03","20"
"31/03/2017","07:10","14.0","226","15.2","11.4","09.9","1009.2",".94","20"
"31/03/2017","07:15","12.9","229","14.1","11.4","09.9","1009.3",".87","10"
"31/03/2017","07:20","12.9","223","14.4","11.4","09.9","1009.5",".86","13"
"31/03/2017","07:30","16.6","219","17.5","11.5","09.9","1009.6",".84","7"
"31/03/2017","07:40","13.8","233","16.5","11.4","09.8","1009.5",".86","4.2"
"31/03/2017","07:45","15.6","232","18.2","11.4","09.6","1009.5",".90","15"
"31/03/2017","07:55","15.4","226","16.7","11.4","09.6","1009.6",".97","20"
"31/03/2017","08:05","14.0","232","15.8","11.4","09.6","1009.7","1.08","22"
"31/03/2017","08:15","16.5","230","18.1","11.4","09.6","1009.9","1.21","20"
"31/03/2017","08:25","18.5","224","20.8","11.5","09.7","1009.9","1.32","16"
"31/03/2017","08:30","17.0","227","18.6","11.5","09.7","1009.9","1.39","19"
"31/03/2017","08:35","16.9","228","17.5","11.5","09.7","1010.0","1.45","20"
"31/03/2017","08:45","16.7","223","21.3","11.5","09.8","1010.1","1.57","20"
"31/03/2017","08:55","15.1","227","16.5","11.4","09.7","1010.1","1.70","18"
