"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH"
"01/04/2017","00:00","13.6","194","16.1","11.5","10.8",".0","4.23"
"01/04/2017","00:05","14.6","194","18.1","11.4","10.8",".0","4.31"
"01/04/2017","00:10","15.6","194","20.1","11.5","10.8",".0","4.38"
"01/04/2017","00:15","15.6","191","19.0","11.4","10.8",".0","4.45"
"01/04/2017","00:20","16.1","191","20.3","11.4","10.8",".0","4.53"
"01/04/2017","00:25","17.3","194","21.7","11.5","10.8",".0","4.61"
"01/04/2017","00:30","16.5","196","19.4","11.5","10.8",".0","4.68"
"01/04/2017","00:35","17.9","196","22.1","11.5","10.8",".0","4.76"
"01/04/2017","00:40","17.4","197","21.2","11.4","10.8",".0","4.84"
"01/04/2017","00:45","18.6","195","22.7","11.4","10.7",".0","4.92"
"01/04/2017","00:50","19.4","195","23.8","11.4","10.8",".0","5.01"
"01/04/2017","00:55","18.8","194","24.7","11.3","10.7",".0","5.09"
"01/04/2017","01:00","20.1","196","26.1","11.3","10.7",".0","5.18"
"01/04/2017","01:05","21.0","196","25.5","11.3","10.7",".0","5.26"
"01/04/2017","01:10","20.9","197","27.3","11.3","10.7",".0","5.33"
"01/04/2017","01:15","19.8","196","25.5","11.2","10.7",".0","5.41"
"01/04/2017","01:20","19.8","194","24.6","11.2","10.7",".0","5.49"
"01/04/2017","01:25","20.1","197","25.1","11.1","10.7",".0","5.56"
"01/04/2017","01:30","21.3","204","27.4","10.9","10.7",".0","5.63"
"01/04/2017","01:35","21.4","208","27.0","10.7","10.7",".0","5.69"
"01/04/2017","01:40","23.9","216","29.3","10.4","10.7",".0","5.76"
"01/04/2017","01:45","22.1","220","26.5","10.2","10.7",".0","5.84"
"01/04/2017","01:50","21.3","220","26.6","10.1","10.6",".0","5.90"
"01/04/2017","01:55","20.4","221","24.7","10.1","10.6",".0","5.97"
"01/04/2017","02:00","20.1","218","24.3","10.2","10.6",".0","6.03"
"01/04/2017","02:05","18.7","216","23.5","10.3","10.6",".0","6.08"
"01/04/2017","02:10","18.8","219","22.2","10.3","10.6",".0","6.13"
"01/04/2017","02:15","18.0","220","21.3","10.3","10.6",".0","6.20"
"01/04/2017","02:20","17.0","222","21.6","10.2","10.6",".0","6.25"
"01/04/2017","02:25","15.9","220","19.0","10.2","10.6",".0","6.29"
"01/04/2017","02:30","15.6","218","19.0","10.1","10.6",".0","6.33"
"01/04/2017","02:35","15.0","219","19.2","10.1","10.6",".0","6.37"
"01/04/2017","02:40","16.6","218","19.2","10.1","10.5",".0","6.41"
"01/04/2017","02:45","16.1","219","19.5","10.1","10.5",".0","6.43"
"01/04/2017","02:50","15.1","218","18.2","10.1","10.5",".0","6.47"
"01/04/2017","02:55","16.1","217","18.6","10.1","10.5",".0","6.51"
"01/04/2017","03:00","14.8","217","18.1","10.1","10.5",".0","6.51"
"01/04/2017","03:05","15.1","215","17.9","10.1","10.5",".0","6.51"
"01/04/2017","03:10","15.4","211","19.1","10.2","10.5",".0","6.51"
"01/04/2017","03:15","15.8","212","19.4","10.2","10.4",".0","6.49"
