"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH"
"27/03/2017","00:00","10.7","072","12.8","09.3","09.3",".0","5.89"
"27/03/2017","00:05","11.3","070","13.8","09.3","09.3",".0","5.88"
"27/03/2017","00:10","10.3","069","12.7","09.3","09.3",".0","5.86"
"27/03/2017","00:15","09.8","068","11.8","09.3","09.3",".0","5.83"
"27/03/2017","00:20","10.3","068","11.6","09.2","09.3",".0","5.80"
"27/03/2017","00:25","10.4","072","12.3","09.2","09.3",".0","5.76"
"27/03/2017","00:30","09.9","072","11.4","09.1","09.3",".0","5.73"
"27/03/2017","00:35","10.1","071","12.5","09.1","09.3",".0","5.70"
"27/03/2017","00:40","10.8","068","12.6","09.2","09.3",".0","5.66"
"27/03/2017","00:45","10.5","071","12.5","09.1","09.3",".0","5.63"
"27/03/2017","00:50","10.0","068","12.5","09.1","09.3",".0","5.59"
"27/03/2017","00:55","10.0","069","11.8","09.1","09.3",".0","5.56"
"27/03/2017","01:00","09.9","068","12.6","09.1","09.3",".0","5.52"
"27/03/2017","01:05","09.9","069","11.7","09.1","09.3",".0","5.49"
"27/03/2017","01:10","09.2","071","11.5","09.0","09.3",".0","5.45"
"27/03/2017","01:15","09.9","069","11.7","09.0","09.3",".0","5.42"
"27/03/2017","01:20","10.9","064","13.5","09.1","09.3",".0","5.39"
"27/03/2017","01:25","10.6","065","13.0","08.9","09.3",".0","5.35"
"27/03/2017","01:30","11.2","066","13.1","08.9","09.3",".0","5.31"
"27/03/2017","01:35","11.2","066","13.1","08.9","09.3",".0","5.27"
"27/03/2017","01:40","10.0","065","12.2","08.8","09.3",".0","5.23"
"27/03/2017","01:45","08.8","060","10.8","08.6","09.3",".0","5.18"
"27/03/2017","01:50","09.4","056","10.8","08.7","09.3",".0","5.12"
"27/03/2017","01:55","08.0","056","11.0","08.7","09.3",".0","5.05"
"27/03/2017","02:00","05.8","080","08.6","08.6","09.3",".0","4.99"
"27/03/2017","02:05","05.0","066","06.8","08.6","09.3",".0","4.91"
"27/03/2017","02:10","05.4","074","06.9","08.8","09.3",".0","4.84"
"27/03/2017","02:15","05.7","070","07.0","08.7","09.3",".0","4.78"
"27/03/2017","02:20","05.6","065","07.5","08.6","09.2",".0","4.69"
"27/03/2017","02:25","05.4","057","06.3","08.4","09.3",".0","4.58"
"27/03/2017","02:30","06.9","050","08.5","08.4","09.2",".0","4.49"
"27/03/2017","02:35","07.7","050","08.8","08.5","09.3",".0","4.38"
"27/03/2017","02:40","06.9","039","08.9","08.4","09.2",".0","4.28"
"27/03/2017","02:45","05.3","041","06.0","08.2","09.2",".0","4.37"
"27/03/2017","02:50","05.9","038","06.8","08.2","09.2",".0","4.20"
"27/03/2017","02:55","06.2","036","07.0","08.2","09.2",".0","4.05"
"27/03/2017","03:00","06.6","026","07.7","07.9","09.3",".0","3.92"
"27/03/2017","03:05","07.7","030","08.8","07.8","09.2",".0","3.81"
"27/03/2017","03:10","08.7","037","10.8","07.9","09.3",".0","3.72"
"27/03/2017","03:15","09.6","045","10.8","08.1","09.2",".0","3.63"
"27/03/2017","03:20","08.9","041","10.4","08.0","09.3",".0","3.57"
