"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"04/04/2017","00:00","10.5","211","11.6","09.5","N/A","1024.4","1.76","0.37","0.39","0.48","17.07"
"04/04/2017","00:05","10.9","209","11.8","09.5","N/A","1024.4","1.76","0.61","0.70","0.48","17.07"
"04/04/2017","00:10","10.6","207","11.5","09.5","N/A","1024.3","1.77","0.46","0.52","0.48","17.07"
"04/04/2017","00:15","10.6","208","11.8","09.6","N/A","1024.4","1.81","0.41","0.42","0.58","15.06"
"04/04/2017","00:20","11.3","207","12.2","09.7","N/A","1024.3","1.85","0.45","0.55","0.58","15.06"
"04/04/2017","00:25","12.0","211","13.9","09.8","N/A","1024.4","1.85","0.37","0.43","0.58","15.06"
"04/04/2017","00:30","12.6","214","14.7","09.7","N/A","1024.4","1.87","0.38","0.42","0.44","17.07"
"04/04/2017","00:35","12.7","213","13.7","09.9","N/A","1024.3","1.92","0.44","0.47","0.44","17.07"
"04/04/2017","00:40","12.4","217","13.3","09.8","N/A","1024.3","1.91","0.34","0.36","0.44","17.07"
"04/04/2017","00:45","11.9","219","12.9","09.9","N/A","1024.3","1.96","0.50","0.58","0.45","15.06"
"04/04/2017","00:50","12.5","218","14.1","09.9","N/A","1024.3","1.97","0.37","0.44","0.45","15.06"
"04/04/2017","00:55","13.4","217","14.9","09.9","N/A","1024.1","2.01","0.43","0.49","0.45","15.06"
"04/04/2017","01:00","13.1","220","14.3","09.9","N/A","1024.3","2.02","0.50","0.53","0.49","15.06"
"04/04/2017","01:05","11.5","218","12.8","09.9","N/A","1024.3","2.03","0.41","0.48","0.49","15.06"
"04/04/2017","01:10","11.0","217","12.8","09.9","N/A","1024.3","2.07","0.55","0.59","0.49","15.06"
"04/04/2017","01:15","12.4","215","14.0","09.9","N/A","1024.1","2.07","0.38","0.47","0.49","15.06"
"04/04/2017","01:20","12.1","214","14.4","09.9","N/A","1024.1","2.12","0.54","0.59","0.49","15.06"
"04/04/2017","01:25","13.1","214","14.3","09.9","N/A","1024.1","2.15","0.63","0.70","0.49","15.06"
"04/04/2017","01:30","13.7","216","14.9","09.9","N/A","1024.1","2.16","0.52","0.56","0.64","15.06"
"04/04/2017","01:35","13.4","218","15.4","09.9","N/A","1023.9","2.22","0.45","0.50","0.64","15.06"
"04/04/2017","01:40","13.4","219","14.8","09.9","N/A","1023.8","2.23","0.44","0.47","0.64","15.06"
"04/04/2017","01:45","12.8","219","14.3","10.0","N/A","1023.9","2.26","0.53","0.67","0.58","15.06"
