"Date","Time","WSPD","WD","GST","ATMP","WTMP","BARO","DEPTH","AWVHT","MWVHT","WVHT","APD"
"28/03/2017","00:00","04.6","069","06.0","10.0","N/A","1018.8","4.88","0.14","0.16","0.15","5.23"
"28/03/2017","00:05","05.6","061","06.7","09.9","N/A","1018.8","4.89","0.16","0.16","0.15","5.23"
"28/03/2017","00:10","06.3","057","07.0","10.0","N/A","1019.0","4.88","0.17","0.20","0.15","5.23"
"28/03/2017","00:15","06.3","060","07.4","09.9","N/A","1019.0","4.87","0.15","0.16","0.14","13.48"
"28/03/2017","00:20","06.7","057","07.1","09.9","N/A","1018.8","4.86","0.17","0.19","0.14","13.48"
"28/03/2017","00:25","06.3","058","07.1","09.9","N/A","1018.8","4.84","0.16","0.19","0.14","13.48"
"28/03/2017","00:30","06.8","062","08.2","09.9","N/A","1018.7","4.82","0.16","0.17","0.16","13.48"
"28/03/2017","00:35","07.2","066","08.3","09.9","N/A","1018.9","4.80","0.17","0.18","0.16","13.48"
"28/03/2017","00:40","06.9","068","07.6","09.8","N/A","1018.7","4.79","0.17","0.18","0.16","13.48"
"28/03/2017","00:45","05.8","065","06.8","09.7","N/A","1018.9","4.77","0.16","0.19","0.16","13.48"
"28/03/2017","00:50","05.8","060","06.4","09.7","N/A","1018.9","4.75","0.16","0.16","0.16","13.48"
"28/03/2017","00:55","05.4","061","06.3","09.7","N/A","1019.0","4.72","0.14","0.15","0.16","13.48"
"28/03/2017","01:00","05.4","057","06.3","09.7","N/A","1018.9","4.69","0.16","0.17","0.17","13.48"
"28/03/2017","01:05","05.4","053","06.5","09.7","N/A","1018.9","4.67","0.14","0.15","0.17","13.48"
"28/03/2017","01:10","06.5","053","08.1","09.8","N/A","1018.9","4.65","0.14","0.15","0.17","13.48"
"28/03/2017","01:15","06.2","055","08.1","09.9","N/A","1018.9","4.64","0.16","0.19","0.15","15.06"
"28/03/2017","01:20","06.3","062","09.0","09.9","N/A","1018.9","4.62","0.17","0.20","0.15","15.06"
"28/03/2017","01:25","06.9","065","09.1","10.0","N/A","1018.9","4.60","0.14","0.15","0.15","15.06"
"28/03/2017","01:30","08.0","072","09.4","10.0","N/A","1018.9","4.58","0.16","0.16","0.15","3.94"
"28/03/2017","01:35","09.0","074","09.9","10.0","N/A","1018.9","4.55","0.15","0.17","0.15","3.94"
"28/03/2017","01:40","08.2","075","09.4","09.8","N/A","1018.9","4.53","0.17","0.17","0.15","3.94"
"28/03/2017","01:45","08.2","079","09.1","09.9","N/A","1018.9","4.50","0.16","0.17","0.17","13.48"
"28/03/2017","01:50","07.9","079","08.8","09.9","N/A","1018.8","4.47","0.16","0.16","0.17","13.48"
"28/03/2017","01:55","07.2","078","08.9","09.8","N/A","1018.8","4.42","0.16","0.17","0.17","13.48"
"28/03/2017","02:00","06.9","079","08.4","09.9","N/A","1018.6","4.37","0.14","0.17","0.20","4.66"
"28/03/2017","02:05","07.5","080","08.4","09.9","N/A","1018.5","4.32","0.15","0.16","0.20","4.66"
"28/03/2017","02:10","07.4","085","08.2","09.8","N/A","1018.6","4.24","0.13","0.14","0.20","4.66"
"28/03/2017","02:15","06.3","093","07.4","09.8","N/A","1018.6","4.17","0.12","0.13","0.26","15.06"
"28/03/2017","02:20","07.0","095","08.1","09.8","N/A","1018.5","4.09","0.15","0.16","0.26","15.06"
"28/03/2017","02:25","07.2","092","08.4","09.8","N/A","1018.6","4.01","0.14","0.16","0.26","15.06"
"28/03/2017","02:30","06.7","093","08.1","09.8","N/A","1018.6","3.91","0.14","0.15","0.33","17.07"
"28/03/2017","02:35","04.7","085","06.8","09.8","N/A","1019.0","3.80","0.15","0.16","0.33","17.07"
"28/03/2017","02:40","03.4","086","05.8","09.9","N/A","1018.8","3.70","0.15","0.16","0.33","17.07"
"28/03/2017","02:45","07.6","079","10.0","10.0","N/A","1018.8","3.58","0.15","0.17","0.40","17.07"
"28/03/2017","02:50","07.1","094","09.4","10.0","N/A","1018.8","3.47","0.15","0.16","0.40","17.07"
"28/03/2017","02:55","06.9","095","08.7","10.0","N/A","1018.6","3.35","0.15","0.17","0.40","17.07"
"28/03/2017","03:00","06.9","097","08.5","10.0","N/A","1018.8","3.23","0.17","0.18","0.44","17.07"
"28/03/2017","03:05","07.6","103","09.2","10.0","N/A","1018.6","3.10","0.15","0.17","0.44","17.07"
"28/03/2017","03:10","07.9","102","09.4","10.0","N/A","1018.5","2.98","0.17","0.17","0.44","17.07"
"28/03/2017","03:15","07.8","101","09.0","10.1","N/A","1018.6","2.85","0.19","0.21","0.46","4.34"
"28/03/2017","03:20","07.4","099","08.6","10.0","N/A","1018.6","2.73","0.20","0.22","0.46","4.34"
"28/03/2017","03:25","07.7","102","09.0","10.1","N/A","1018.6","2.61","0.18","0.21","0.46","4.34"
"28/03/2017","03:30","08.4","102","10.0","10.1","N/A","1018.3","2.48","0.20","0.22","0.46","17.07"
"28/03/2017","03:35","09.3","098","11.6","10.1","N/A","1018.5","2.37","0.22","0.24","0.46","17.07"
"28/03/2017","03:40","09.1","097","10.6","10.1","N/A","1018.2","2.26","0.20","0.22","0.46","17.07"
"28/03/2017","03:45","08.4","095","10.6","10.0","N/A","1018.3","2.16","0.20","0.22","0.41","4.07"
"28/03/2017","03:50","08.0","093","09.4","10.0","N/A","1018.3","2.07","0.22","0.24","0.41","4.07"
"28/03/2017","03:55","08.6","094","10.1","10.0","N/A","1018.3","1.96","0.23","0.25","0.41","4.07"
"28/03/2017","04:00","08.6","101","09.6","10.0","N/A","1018.3","1.87","0.23","0.24","0.39","4.20"
"28/03/2017","04:05","09.1","098","10.3","10.1","N/A","1018.3","1.78","0.21","0.24","0.39","4.20"
"28/03/2017","04:10","10.2","096","12.5","10.1","N/A","1018.2","1.69","0.21","0.25","0.39","4.20"
"28/03/2017","04:15","10.4","099","11.3","10.1","N/A","1018.2","1.61","0.26","0.28","0.36","4.07"
"28/03/2017","04:20","10.8","104","12.1","10.2","N/A","1018.0","1.51","0.21","0.22","0.36","4.07"
"28/03/2017","04:25","10.5","108","11.7","10.3","N/A","1018.0","1.42","0.22","0.24","0.36","4.07"
"28/03/2017","04:30","10.7","106","12.7","10.4","N/A","1018.2","1.34","0.25","0.28","0.37","4.34"
"28/03/2017","04:35","10.9","102","12.0","10.4","N/A","1018.0","1.27","0.21","0.23","0.37","4.34"
"28/03/2017","04:40","09.9","099","11.6","10.4","N/A","1018.0","1.20","0.24","0.26","0.37","4.34"
"28/03/2017","04:45","10.3","094","12.0","10.4","N/A","1018.0","1.12","0.22","0.24","0.31","4.49"
"28/03/2017","04:50","09.9","089","12.3","10.2","N/A","1018.0","1.06","0.22","0.24","0.31","4.49"
"28/03/2017","04:55","09.4","093","10.9","10.2","N/A","1018.2","1.01","0.23","0.25","0.31","4.49"
"28/03/2017","05:00","09.3","093","10.7","10.2","N/A","1018.2",".96","0.21","0.23","0.26","4.07"
"28/03/2017","05:05","09.2","083","10.2","10.0","N/A","1018.3",".90","0.25","0.30","0.26","4.07"
"28/03/2017","05:10","10.1","080","11.4","09.9","N/A","1018.0",".87","0.30","0.30","0.26","4.07"
"28/03/2017","05:15","09.9","090","11.1","09.9","N/A","1018.2",".85","0.23","0.28","0.26","3.94"
"28/03/2017","05:20","09.7","090","10.8","09.9","N/A","1018.2",".81","0.24","0.28","0.26","3.94"
"28/03/2017","05:25","08.5","084","09.6","09.8","N/A","1018.3",".80","0.22","0.25","0.26","3.94"
"28/03/2017","05:30","07.6","080","09.1","09.6","N/A","1018.3",".79","0.22","0.23","0.22","4.66"
"28/03/2017","05:35","06.9","085","08.2","09.6","N/A","1018.2",".77","0.25","0.27","0.22","4.66"
"28/03/2017","05:40","07.6","086","09.6","09.5","N/A","1018.5",".77","0.25","0.26","0.22","4.66"
"28/03/2017","05:45","07.7","088","09.0","09.4","N/A","1018.5",".79","0.22","0.24","0.22","3.82"
"28/03/2017","05:50","07.7","093","10.0","09.5","N/A","1018.3",".79","0.27","0.31","0.22","3.82"
"28/03/2017","05:55","08.7","090","10.9","09.5","N/A","1018.2",".82","0.22","0.24","0.22","3.82"
"28/03/2017","06:00","11.2","093","12.6","09.6","N/A","1018.2",".85","0.24","0.26","0.23","4.07"
"28/03/2017","06:05","10.6","089","11.9","09.6","N/A","1018.3",".88","0.20","0.25","0.23","4.07"
"28/03/2017","06:10","10.5","089","11.5","09.6","N/A","1018.3",".92","0.26","0.28","0.23","4.07"
"28/03/2017","06:15","09.8","090","11.0","09.5","N/A","1018.3",".97","0.26","0.28","0.25","4.34"
"28/03/2017","06:20","09.4","088","10.7","09.6","N/A","1018.3","1.03","0.20","0.21","0.25","4.34"
"28/03/2017","06:25","08.9","091","10.1","09.6","N/A","1018.5","1.09","0.20","0.20","0.25","4.34"
"28/03/2017","06:30","07.2","088","09.2","09.7","N/A","1018.5","1.16","0.19","0.21","0.28","4.49"
"28/03/2017","06:35","05.1","101","06.4","09.7","N/A","1018.6","1.22","0.21","0.23","0.28","4.49"
"28/03/2017","06:40","06.2","119","07.9","10.2","N/A","1018.5","1.29","0.18","0.20","0.28","4.49"
"28/03/2017","06:45","06.1","123","07.3","10.3","N/A","1018.5","1.35","0.20","0.21","0.28","4.20"
"28/03/2017","06:50","06.5","114","07.9","10.4","N/A","1018.5","1.41","0.17","0.19","0.28","4.20"
"28/03/2017","06:55","05.9","107","06.7","10.4","N/A","1018.6","1.47","0.20","0.23","0.28","4.20"
"28/03/2017","07:00","05.6","104","06.9","10.3","N/A","1018.6","1.53","0.22","0.23","0.27","4.49"
"28/03/2017","07:05","05.5","112","06.3","09.8","N/A","1018.6","1.59","0.18","0.19","0.27","4.49"
"28/03/2017","07:10","05.4","121","06.6","10.1","N/A","1018.6","1.65","0.18","0.19","0.27","4.49"
"28/03/2017","07:15","05.6","108","06.4","10.2","N/A","1018.6","1.70","0.17","0.21","0.26","4.20"
"28/03/2017","07:20","06.1","091","07.8","09.4","N/A","1018.5","1.75","0.17","0.19","0.26","4.20"
"28/03/2017","07:25","07.1","096","08.1","09.8","N/A","1018.5","1.80","0.18","0.19","0.26","4.20"
"28/03/2017","07:30","06.8","121","07.7","10.0","N/A","1018.5","1.83","0.18","0.20","0.21","3.71"
"28/03/2017","07:35","07.8","133","09.4","10.3","N/A","1018.6","1.87","0.16","0.17","0.21","3.71"
"28/03/2017","07:40","07.2","146","08.2","10.2","N/A","1018.8","1.89","0.16","0.17","0.21","3.71"
"28/03/2017","07:45","06.6","169","07.6","10.5","N/A","1018.8","1.92","0.16","0.17","0.17","3.24"
"28/03/2017","07:50","06.4","185","07.5","10.6","N/A","1018.6","1.94","0.14","0.15","0.17","3.24"
"28/03/2017","07:55","06.6","197","08.4","10.6","N/A","1018.8","1.96","0.15","0.18","0.17","3.24"
"28/03/2017","08:00","05.9","202","07.3","10.7","N/A","1018.8","1.99","0.19","0.20","0.16","4.66"
"28/03/2017","08:05","06.4","214","07.4","10.7","N/A","1019.0","2.02","0.16","0.19","0.16","4.66"
"28/03/2017","08:10","06.3","214","07.3","10.6","N/A","1019.0","2.06","0.15","0.17","0.16","4.66"
"28/03/2017","08:15","06.1","214","07.0","10.6","N/A","1019.1","2.09","0.14","0.17","0.17","5.23"
"28/03/2017","08:20","06.4","214","07.5","10.6","N/A","1019.1","2.13","0.15","0.16","0.17","5.23"
"28/03/2017","08:25","05.8","213","06.5","10.7","N/A","1019.0","2.16","0.12","0.13","0.17","5.23"
"28/03/2017","08:30","05.4","215","06.7","10.8","N/A","1019.1","2.21","0.14","0.16","0.18","3.94"
"28/03/2017","08:35","05.2","221","06.0","10.8","N/A","1018.9","2.25","0.13","0.14","0.18","3.94"
"28/03/2017","08:40","05.8","222","06.4","10.8","N/A","1019.1","2.30","0.14","0.15","0.18","3.94"
"28/03/2017","08:45","06.1","225","06.5","10.8","N/A","1019.0","2.34","0.14","0.16","0.20","4.83"
"28/03/2017","08:50","06.0","235","06.7","10.8","N/A","1019.0","2.39","0.13","0.13","0.20","4.83"
"28/03/2017","08:55","07.2","228","08.2","10.8","N/A","1019.0","2.45","0.12","0.13","0.20","4.83"
"28/03/2017","09:00","07.4","231","10.0","10.9","N/A","1019.0","2.51","0.14","0.16","0.22","4.07"
"28/03/2017","09:05","07.1","229","08.4","11.0","N/A","1019.0","2.57","0.12","0.13","0.22","4.07"
"28/03/2017","09:10","07.5","230","08.2","11.1","N/A","1019.0","2.64","0.13","0.14","0.22","4.07"
"28/03/2017","09:15","07.2","234","07.8","11.2","N/A","1018.8","2.71","0.12","0.14","0.26","4.07"
"28/03/2017","09:20","06.8","238","07.3","11.4","N/A","1019.0","2.78","0.13","0.14","0.26","4.07"
"28/03/2017","09:25","06.6","236","07.0","11.3","N/A","1019.1","2.86","0.12","0.14","0.26","4.07"
"28/03/2017","09:30","06.3","235","07.5","11.1","N/A","1019.1","2.94","0.15","0.17","0.29","11.13"
"28/03/2017","09:35","05.1","250","06.9","11.3","N/A","1019.3","3.01","0.12","0.14","0.29","11.13"
"28/03/2017","09:40","07.2","243","10.3","11.3","N/A","1019.3","3.09","0.12","0.13","0.29","11.13"
"28/03/2017","09:45","10.0","242","11.8","11.4","N/A","1019.3","3.17","0.12","0.14","0.29","11.13"
"28/03/2017","09:50","11.5","246","13.6","11.6","N/A","1019.2","3.25","0.12","0.14","0.29","11.13"
"28/03/2017","09:55","12.1","250","14.3","11.7","N/A","1019.5","3.34","0.14","0.17","0.29","11.13"
"28/03/2017","10:00","09.3","258","11.1","11.6","N/A","1019.5","3.43","0.12","0.14","0.32","11.13"
"28/03/2017","10:05","10.3","252","11.3","11.6","N/A","1019.5","3.51","0.14","0.14","0.32","11.13"
"28/03/2017","10:10","09.2","251","10.4","11.6","N/A","1019.5","3.59","0.13","0.14","0.32","11.13"
"28/03/2017","10:15","09.1","248","10.3","11.5","N/A","1019.7","3.68","0.14","0.15","0.31","11.13"
"28/03/2017","10:20","09.7","246","10.7","11.5","N/A","1019.7","3.76","0.14","0.15","0.31","11.13"
"28/03/2017","10:25","10.1","245","10.9","11.5","N/A","1019.8","3.86","0.14","0.16","0.31","11.13"
"28/03/2017","10:30","10.6","243","12.2","11.5","N/A","1019.8","3.93","0.15","0.17","0.33","13.48"
"28/03/2017","10:35","10.7","243","11.8","11.6","N/A","1019.7","4.01","0.16","0.18","0.33","13.48"
"28/03/2017","10:40","10.9","241","12.2","11.8","N/A","1019.8","4.09","0.15","0.16","0.33","13.48"
"28/03/2017","10:45","10.6","244","12.4","11.8","N/A","1019.8","4.16","0.17","0.18","0.29","12.19"
"28/03/2017","10:50","08.8","243","10.2","11.7","N/A","1019.8","4.22","0.12","0.13","0.29","12.19"
"28/03/2017","10:55","09.5","244","10.1","11.8","N/A","1020.2","4.28","0.18","0.21","0.29","12.19"
"28/03/2017","11:00","09.0","242","09.6","11.9","N/A","1020.0","4.35","0.20","0.23","0.27","10.24"
"28/03/2017","11:05","08.5","239","09.3","11.6","N/A","1020.2","4.40","0.13","0.13","0.27","10.24"
"28/03/2017","11:10","07.5","243","08.5","11.7","N/A","1020.3","4.46","0.16","0.19","0.27","10.24"
"28/03/2017","11:15","07.9","230","09.9","11.3","N/A","1020.2","4.49","0.15","0.17","0.23","12.19"
"28/03/2017","11:20","08.5","218","09.6","11.4","N/A","1020.3","4.55","0.19","0.22","0.23","12.19"
"28/03/2017","11:25","11.3","237","12.9","11.6","N/A","1020.5","4.58","0.15","0.16","0.23","12.19"
"28/03/2017","11:30","13.3","244","15.0","11.6","N/A","1020.3","4.63","0.14","0.15","0.21","12.19"
"28/03/2017","11:35","14.2","249","15.9","11.6","N/A","1020.6","4.67","0.17","0.20","0.21","12.19"
"28/03/2017","11:40","13.5","249","15.8","11.6","N/A","1020.5","4.71","0.18","0.20","0.21","12.19"
"28/03/2017","11:45","12.9","250","14.5","11.5","N/A","1020.5","4.75","0.24","0.25","0.25","13.48"
"28/03/2017","11:50","11.6","250","13.4","11.5","N/A","1020.5","4.78","0.24","0.26","0.25","13.48"
"28/03/2017","11:55","12.4","248","14.6","11.5","N/A","1020.6","4.82","0.20","0.23","0.25","13.48"
"28/03/2017","12:00","14.2","246","15.6","11.6","N/A","1020.6","4.86","0.17","0.18","0.23","12.19"
"28/03/2017","12:05","13.6","242","15.0","11.6","N/A","1020.6","4.87","0.19","0.21","0.23","12.19"
"28/03/2017","12:10","12.8","239","14.4","11.6","N/A","1020.6","4.90","0.20","0.21","0.23","12.19"
"28/03/2017","12:15","11.3","241","12.6","11.5","N/A","1020.6","4.92","0.19","0.23","0.19","12.19"
"28/03/2017","12:20","11.7","242","12.5","11.5","N/A","1020.8","4.92","0.23","0.25","0.19","12.19"
"28/03/2017","12:25","11.8","243","12.8","11.7","N/A","1020.8","4.92","0.21","0.22","0.19","12.19"
"28/03/2017","12:30","11.4","240","13.4","11.7","N/A","1020.6","4.91","0.20","0.22","0.20","15.06"
"28/03/2017","12:35","10.0","225","12.2","11.1","N/A","1020.6","4.90","0.19","0.22","0.20","15.06"
"28/03/2017","12:40","10.5","211","12.2","11.0","N/A","1020.6","4.88","0.23","0.26","0.20","15.06"
"28/03/2017","12:45","12.5","211","14.9","10.9","N/A","1020.8","4.87","0.20","0.23","0.22","15.06"
"28/03/2017","12:50","13.6","216","18.2","10.9","N/A","1020.8","4.84","0.24","0.29","0.22","15.06"
"28/03/2017","12:55","12.4","214","14.1","10.8","N/A","1020.6","4.80","0.29","0.30","0.22","15.06"
"28/03/2017","13:00","12.6","216","13.9","10.9","N/A","1020.8","4.78","0.29","0.32","0.28","6.57"
"28/03/2017","13:05","12.8","217","14.4","11.1","N/A","1020.6","4.74","0.20","0.23","0.28","6.57"
"28/03/2017","13:10","11.5","217","13.4","10.9","N/A","1020.6","4.71","0.23","0.28","0.28","6.57"
"28/03/2017","13:15","11.9","214","13.2","11.0","N/A","1020.6","4.68","0.18","0.20","0.22","15.06"
"28/03/2017","13:20","12.1","214","14.2","11.4","N/A","1020.6","4.66","0.20","0.23","0.22","15.06"
"28/03/2017","13:25","11.0","215","12.6","11.3","N/A","1020.4","4.63","0.15","0.17","0.22","15.06"
"28/03/2017","13:30","10.8","213","12.4","11.1","N/A","1020.6","4.60","0.19","0.21","0.19","9.48"
"28/03/2017","13:35","11.3","213","13.1","11.0","N/A","1020.6","4.59","0.20","0.22","0.19","9.48"
"28/03/2017","13:40","12.1","210","13.7","10.9","N/A","1020.6","4.57","0.22","0.24","0.19","9.48"
"28/03/2017","13:45","13.0","212","14.2","10.8","N/A","1020.7","4.56","0.22","0.23","0.21","15.06"
"28/03/2017","13:50","13.4","216","15.6","10.9","N/A","1020.7","4.54","0.18","0.21","0.21","15.06"
"28/03/2017","13:55","14.5","216","16.2","10.9","N/A","1020.7","4.52","0.26","0.28","0.21","15.06"
"28/03/2017","14:00","13.6","219","15.8","10.9","N/A","1020.7","4.49","0.21","0.25","0.22","17.07"
"28/03/2017","14:05","13.1","220","14.8","11.1","N/A","1020.7","4.45","0.20","0.22","0.22","17.07"
"28/03/2017","14:10","13.3","220","15.2","11.1","N/A","1020.7","4.41","0.18","0.20","0.22","17.07"
"28/03/2017","14:15","13.2","221","15.6","11.2","N/A","1020.7","4.35","0.19","0.23","0.23","15.06"
"28/03/2017","14:20","14.0","217","16.7","11.1","N/A","1020.7","4.30","0.23","0.24","0.23","15.06"
"28/03/2017","14:25","15.7","215","18.4","11.1","N/A","1020.6","4.24","0.20","0.23","0.23","15.06"
"28/03/2017","14:30","14.6","217","16.8","11.1","N/A","1020.7","4.17","0.18","0.19","0.28","17.07"
"28/03/2017","14:35","14.5","216","16.2","11.1","N/A","1020.7","4.10","0.16","0.19","0.28","17.07"
"28/03/2017","14:40","13.2","215","15.4","11.1","N/A","1020.9","4.01","0.23","0.25","0.28","17.07"
"28/03/2017","14:45","13.0","215","14.7","11.1","N/A","1020.9","3.92","0.21","0.23","0.35","17.07"
