"Date","Time","WSPD","WD","GST","ATMP","BARO","DEPTH"
"02/04/2017","00:00","06.5","321","07.3","09.0","1013.8","2.45"
"02/04/2017","00:05","04.3","320","04.7","09.0","1013.8","2.45"
"02/04/2017","00:10","05.3","326","05.7","09.0","1013.8","2.45"
"02/04/2017","00:15","07.5","320","08.4","08.8","1013.8","2.45"
"02/04/2017","00:20","06.8","320","07.6","08.8","1013.7","2.46"
"02/04/2017","00:25","06.9","321","07.6","08.8","1013.7","2.47"
"02/04/2017","00:30","06.6","323","07.2","08.7","1013.7","2.49"
"02/04/2017","00:35","07.4","315","08.1","08.6","1013.7","2.51"
"02/04/2017","00:40","06.7","327","08.1","08.5","1013.7","2.54"
"02/04/2017","00:45","05.8","334","08.1","08.6","1013.7","2.58"
"02/04/2017","00:50","08.9","324","09.5","08.6","1013.7","2.64"
"02/04/2017","00:55","06.6","335","07.3","08.6","1014.2","2.70"
"02/04/2017","01:00","05.9","326","07.0","08.5","1014.2","2.73"
"02/04/2017","05:25","08.3","334","08.8","07.3","1016.7","4.55"
"02/04/2017","05:30","08.7","333","09.3","07.3","1016.7","4.54"
"02/04/2017","05:35","09.1","338","09.7","07.3","1016.8","4.50"
"02/04/2017","05:40","07.9","335","08.7","07.3","1016.8","4.49"
"02/04/2017","05:45","08.1","340","08.7","07.3","1016.8","4.45"
"02/04/2017","05:50","07.7","342","08.4","07.3","1017.0","4.44"
"02/04/2017","05:55","08.6","339","09.1","07.3","1017.1","4.41"
"02/04/2017","06:00","06.7","336","08.3","07.5","1017.2","4.38"
"02/04/2017","06:05","07.9","332","08.5","07.4","1017.2","4.34"
"02/04/2017","06:10","08.8","332","09.9","07.4","1017.2","4.23"
"02/04/2017","06:15","08.0","332","09.0","07.4","1017.2","4.21"
"02/04/2017","06:20","09.4","333","09.9","07.3","1017.2","4.14"
"02/04/2017","06:25","09.4","330","10.0","07.2","1017.2","4.08"
"02/04/2017","06:30","09.6","326","10.4","07.2","1017.2","3.99"
"02/04/2017","06:35","07.3","324","07.9","07.2","1017.2","3.92"
"02/04/2017","06:40","07.5","329","07.9","07.2","1017.2","3.81"
"02/04/2017","06:45","08.0","329","08.6","07.1","1017.2","3.70"
"02/04/2017","06:50","08.6","337","09.7","07.2","1017.2","3.57"
"02/04/2017","06:55","06.7","353","08.7","07.2","1017.2","3.44"
"02/04/2017","07:00","06.4","347","07.0","07.4","1017.2","3.29"
"02/04/2017","07:05","05.9","345","07.4","07.5","1017.2","3.14"
"02/04/2017","07:10","06.7","341","08.9","07.4","1017.2","2.99"
"02/04/2017","07:15","06.2","341","07.3","07.3","1017.2","2.85"
"02/04/2017","07:20","06.0","343","07.2","07.3","1017.2","2.69"
"02/04/2017","07:25","06.9","004","07.9","07.5","1017.2","2.52"
"02/04/2017","07:30","04.7","339","06.6","07.5","1017.2","2.37"
"02/04/2017","07:35","04.4","343","07.8","07.5","1017.2","2.23"
"02/04/2017","07:40","05.8","349","07.0","07.6","1017.2","2.09"
"02/04/2017","07:45","06.6","004","07.7","07.7","1017.2","1.94"
"02/04/2017","07:50","06.0","360","06.5","07.8","1019.2","1.80"
"02/04/2017","07:55","04.3","350","05.6","07.8","1019.2","1.66"
"02/04/2017","08:00","05.0","326","05.5","07.8","1019.2","1.54"
"02/04/2017","08:05","05.7","326","06.7","07.6","1019.2","1.43"
"02/04/2017","08:10","05.8","346","07.2","07.6","1019.2","1.34"
"02/04/2017","08:15","06.7","325","07.1","07.7","1019.7","1.25"
"02/04/2017","08:20","06.7","324","07.0","07.6","1019.7","1.16"
"02/04/2017","08:25","06.5","324","07.4","07.6","1019.7","1.11"
"02/04/2017","08:30","04.2","353","05.8","07.8","1019.7","1.04"
"02/04/2017","08:35","07.5","346","09.1","08.1","1019.7",".99"
"02/04/2017","08:40","06.4","004","07.4","08.2","1019.7",".95"
"02/04/2017","08:45","03.4","349","05.1","08.2","1019.7",".92"
"02/04/2017","08:50","05.0","346","06.3","08.2","1019.9",".89"
"02/04/2017","08:55","08.0","347","08.8","08.4","1020.2",".88"
"02/04/2017","09:00","05.3","340","07.9","08.4","1020.2",".88"
"02/04/2017","09:05","05.7","335","06.4","08.4","1020.2",".88"
"02/04/2017","09:10","04.1","007","05.6","08.7","1020.4",".90"
"02/04/2017","09:15","03.1","353","04.8","09.0","1020.4",".93"
"02/04/2017","09:20","04.3","015","06.8","09.0","1020.4",".96"
"02/04/2017","09:25","08.3","012","10.3","09.7","1020.4","1.00"
"02/04/2017","09:30","03.6","059","05.6","09.6","1020.6","1.05"
"02/04/2017","09:35","07.8","011","09.1","09.7","1020.6","1.10"
"02/04/2017","09:40","06.1","007","07.9","09.9","1020.6","1.18"
"02/04/2017","09:45","08.1","016","09.6","10.3","1020.6","1.25"
"02/04/2017","09:50","07.2","009","09.4","10.3","1020.6","1.34"
"02/04/2017","09:55","08.1","001","09.8","10.2","1020.6","1.39"
"02/04/2017","10:00","13.7","018","15.6","10.3","1020.6","1.47"
"02/04/2017","10:05","13.8","020","15.2","10.2","1020.6","1.56"
"02/04/2017","10:10","11.4","015","12.6","10.0","1020.6","1.63"
"02/04/2017","10:15","06.2","016","08.9","10.1","1020.9","1.69"
"02/04/2017","10:20","06.7","343","07.6","10.5","1021.0","1.75"
"02/04/2017","10:25","03.7","356","06.6","10.1","1021.2","1.82"
"02/04/2017","10:30","05.4","005","08.5","10.2","1021.2","1.87"
"02/04/2017","10:35","01.4","353","02.7","10.6","1021.2","1.92"
"02/04/2017","10:40","07.5","351","11.5","10.6","1021.2","1.96"
"02/04/2017","10:45","10.2","351","12.2","10.6","1021.2","2.00"
"02/04/2017","10:50","07.8","333","10.3","10.6","1021.2","2.03"
"02/04/2017","10:55","06.3","348","08.0","10.8","1021.2","2.06"
"02/04/2017","11:00","10.0","327","12.0","10.9","1021.2","2.09"
"02/04/2017","11:05","08.3","345","11.7","10.6","1021.4","2.11"
"02/04/2017","11:10","08.9","008","14.5","10.6","1021.4","2.13"
"02/04/2017","11:15","10.3","010","13.2","11.1","1021.4","2.13"
"02/04/2017","11:20","10.9","001","13.7","11.1","1021.4","2.15"
"02/04/2017","11:25","05.8","334","07.9","11.2","1021.6","2.18"
"02/04/2017","11:30","05.1","323","07.1","11.2","1021.6","2.20"
"02/04/2017","11:35","11.2","004","13.8","11.2","1021.6","2.21"
"02/04/2017","11:40","04.0","001","07.8","11.5","1021.6","2.24"
"02/04/2017","11:45","08.3","348","09.8","11.7","1021.6","2.25"
"02/04/2017","11:50","04.2","353","05.9","11.5","1021.6","2.27"
"02/04/2017","11:55","08.4","011","14.0","11.8","1021.7","2.28"
"02/04/2017","12:00","04.4","023","06.3","11.7","1021.7","2.30"
"02/04/2017","12:05","05.7","313","08.9","11.7","1021.8","2.31"
