"Date","Time","WSPD","WD","GST","ATMP","BARO","DEPTH"
"28/03/2017","00:05","05.7","137","06.1","10.0","1017.8","4.61"
"28/03/2017","01:05","07.0","097","07.4","10.2","1017.6","4.58"
"28/03/2017","02:05","06.8","134","07.7","09.5","1017.5","4.51"
"28/03/2017","03:05","09.4","136","10.1","09.3","1017.1","3.96"
"28/03/2017","04:05","09.4","119","10.1","09.3","1016.9","2.23"
"28/03/2017","05:05","06.1","117","06.9","09.0","1016.7",".82"
"28/03/2017","06:05","08.8","127","09.0","08.8","1016.7",".97"
"28/03/2017","07:05","09.5","125","10.3","09.0","1017.0","2.08"
"28/03/2017","08:05","07.4","168","08.3","09.2","1017.5","2.49"
"28/03/2017","09:00","10.5","246","11.9","10.6","1017.7","2.57"
"28/03/2017","09:05","08.6","243","10.4","10.7","1017.7","2.59"
"28/03/2017","09:10","09.4","245","11.6","10.9","1017.7","2.59"
"28/03/2017","09:35","08.8","245","09.8","11.0","1017.9","2.74"
"28/03/2017","10:35","08.6","245","09.6","11.4","1018.8","3.77"
"28/03/2017","11:35","11.3","224","11.8","11.5","1019.2","4.79"
"28/03/2017","12:35","14.5","235","17.0","12.1","1019.4","4.55"
"28/03/2017","13:35","19.2","231","23.0","12.3","1019.1","4.53"
"28/03/2017","14:10","17.1","227","19.1","12.5","1019.2","4.50"
"28/03/2017","15:10","18.1","243","22.9","12.3","1019.4","4.12"
"28/03/2017","16:10","14.4","245","16.4","12.1","1019.7","2.66"
"28/03/2017","17:10","16.5","239","19.9","12.1","1019.4",".90"
"28/03/2017","18:10","12.9","241","14.6","12.0","1019.4",".57"
"28/03/2017","19:10","11.6","245","12.7","11.4","1019.4","1.55"
"28/03/2017","20:10","10.1","227","11.0","11.2","1019.9","2.26"
"28/03/2017","21:10","08.5","211","09.4","10.8","1020.1","2.43"
"28/03/2017","22:10","11.0","216","12.0","11.8","1020.1","2.75"
"28/03/2017","23:10","13.2","226","14.9","12.1","1019.8","4.02"
