Running strategy bcrp_start on dataset ndx
Start Time: 2011-1003-12-40-58-275
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	1.003068	1.003068
2	0.999826	1.002894
3	1.001601	1.004500
4	0.999603	1.004101
5	0.999917	1.004017
6	0.999855	1.003871
7	0.997724	1.001586
8	1.001182	1.002771
9	0.999651	1.002421
10	0.999276	1.001696
11	0.999254	1.000948
12	1.000154	1.001103
13	1.000019	1.001122
14	1.000294	1.001416
15	1.000916	1.002333
16	0.999108	1.001439
17	0.999531	1.000970
18	1.000715	1.001686
19	1.000739	1.002426
20	0.998101	1.000522
21	0.997978	0.998499
22	0.999873	0.998372
23	1.000076	0.998449
24	0.999900	0.998348
25	1.000231	0.998579
26	0.999847	0.998427
27	1.000040	0.998467
28	1.000276	0.998742
29	0.999718	0.998461
30	0.998805	0.997268
31	0.999598	0.996866
32	0.998720	0.995590
33	0.999248	0.994841
34	0.998596	0.993444
35	1.000010	0.993454
36	1.000148	0.993600
37	1.001529	0.995120
38	1.000009	0.995129
39	1.000014	0.995143
40	1.000291	0.995432
41	0.999960	0.995392
42	0.999952	0.995345
43	1.000236	0.995579
44	0.999856	0.995436
45	0.999715	0.995153
46	1.000152	0.995304
47	1.000146	0.995449
48	0.999343	0.994796
49	0.999884	0.994680
50	1.000512	0.995189
51	0.999761	0.994952
52	1.000077	0.995028
53	1.000344	0.995370
54	0.999642	0.995014
55	1.000322	0.995334
56	0.999992	0.995326
57	1.000074	0.995400
58	0.999852	0.995253
59	1.000222	0.995474
60	0.997083	0.992570
61	1.000198	0.992766
62	1.000014	0.992781
63	0.999777	0.992559
64	0.999827	0.992388
65	0.999252	0.991645
66	0.999012	0.990666
67	1.000521	0.991182
68	0.998321	0.989518
69	1.000099	0.989616
70	1.000328	0.989940
71	1.000563	0.990497
72	1.000124	0.990619
73	1.000981	0.991591
74	1.000151	0.991741
75	1.000870	0.992604
76	1.000009	0.992613
77	1.000298	0.992908
78	0.999922	0.992830
79	0.998805	0.991644
80	0.999448	0.991096
81	0.999695	0.990794
82	0.999858	0.990653
83	0.999182	0.989842
84	1.000026	0.989869
85	1.000663	0.990525
86	1.000054	0.990578
87	1.000109	0.990686
88	1.000592	0.991272
89	0.999242	0.990520
90	1.000085	0.990604
91	1.000124	0.990728
92	1.000231	0.990956
93	1.000415	0.991368
94	0.999792	0.991162
95	0.999883	0.991046
96	1.001280	0.992314
97	1.000317	0.992629
98	1.001034	0.993655
99	0.999937	0.993593
100	1.000292	0.993883
101	0.999928	0.993811
102	1.000509	0.994317
103	1.000140	0.994456
104	0.999151	0.993612
105	1.000237	0.993847
106	0.999548	0.993398
107	0.998812	0.992218
108	1.000314	0.992529
109	0.999640	0.992172
110	0.999462	0.991638
111	1.000079	0.991716
112	1.000013	0.991729
113	1.000204	0.991931
114	0.998689	0.990630
115	0.999624	0.990257
116	1.000251	0.990506
117	0.999989	0.990495
118	0.999381	0.989882
119	0.999097	0.988988
120	0.999531	0.988525
121	0.999515	0.988046
122	0.999962	0.988008
123	0.999388	0.987403
124	0.999655	0.987063
125	1.000338	0.987396
126	0.999373	0.986777
127	0.999391	0.986176
128	1.000003	0.986179
129	0.999668	0.985852
130	0.999505	0.985364
131	1.000338	0.985697
132	0.999841	0.985540
133	0.999475	0.985023
134	1.000314	0.985332
135	0.999927	0.985260
136	1.000078	0.985338
137	0.999938	0.985277
138	1.000494	0.985764
139	0.999697	0.985465
140	1.000298	0.985759
141	0.999693	0.985456
142	1.000217	0.985670
143	1.000378	0.986043
144	0.999794	0.985840
145	1.000311	0.986146
146	0.999997	0.986143
147	1.000147	0.986288
148	1.000328	0.986612
149	1.000425	0.987030
150	1.000253	0.987281
151	0.999939	0.987221
152	0.999947	0.987168
153	1.000082	0.987249
154	0.999558	0.986812
155	0.999561	0.986379
156	1.000165	0.986542
157	1.000416	0.986953
158	1.000434	0.987381
159	1.000007	0.987388
160	1.000474	0.987856
161	1.000014	0.987869
162	0.999709	0.987582
163	1.000321	0.987899
164	1.000817	0.988706
165	1.000058	0.988764
166	0.999855	0.988620
167	1.000059	0.988678
168	0.999745	0.988426
169	1.000277	0.988700
170	0.999070	0.987781
171	1.000223	0.988001
172	1.000081	0.988081
173	0.999852	0.987935
174	0.999390	0.987332
175	0.999794	0.987129
176	1.000001	0.987129
177	1.000209	0.987336
178	1.000156	0.987490
179	1.000214	0.987701
180	0.999857	0.987560
181	0.999904	0.987465
182	0.999162	0.986638
183	0.999839	0.986479
184	0.999620	0.986105
185	0.999376	0.985490
186	0.999535	0.985031
187	0.999920	0.984952
188	0.999834	0.984789
189	0.999834	0.984626
190	0.999534	0.984166
191	0.999618	0.983790
192	1.000300	0.984085
193	1.000137	0.984220
194	0.999925	0.984147
195	1.000235	0.984378
196	1.000148	0.984524
197	0.999798	0.984325
198	0.999933	0.984260
199	1.000314	0.984569
200	0.999832	0.984403
201	0.999677	0.984085
202	1.000065	0.984150
203	0.999766	0.983919
204	0.999991	0.983910
205	0.999851	0.983763
206	1.000096	0.983858
207	1.000071	0.983928
208	1.000300	0.984223
209	1.000208	0.984427
210	0.999847	0.984277
211	0.999930	0.984207
212	0.999847	0.984056
213	1.000142	0.984196
214	0.999449	0.983654
215	0.999315	0.982979
216	0.999526	0.982514
217	0.999779	0.982297
218	0.999293	0.981603
219	0.999830	0.981436
220	1.000298	0.981728
221	0.999701	0.981434
222	1.000385	0.981812
223	1.000086	0.981897
224	0.999767	0.981668
225	0.999634	0.981309
226	1.000000	0.981309
227	0.999851	0.981163
228	0.999676	0.980845
229	0.999032	0.979895
230	0.999998	0.979893
231	1.000002	0.979895
232	1.000156	0.980048
233	0.999863	0.979915
234	1.001060	0.980954
235	1.000516	0.981460
236	0.999701	0.981167
237	0.999325	0.980505
238	1.000138	0.980640
239	1.000259	0.980894
240	0.999541	0.980443
241	1.000149	0.980590
242	1.000005	0.980595
243	1.000513	0.981098
244	0.999247	0.980359
245	0.999986	0.980346
246	0.999382	0.979740
247	0.999417	0.979169
248	0.999991	0.979160
249	1.000404	0.979556
250	1.000068	0.979623
251	0.999520	0.979153
252	0.999610	0.978771
253	1.000758	0.979513
254	0.999614	0.979135
255	0.999066	0.978220
256	0.998370	0.976626
257	1.000196	0.976817
258	1.000480	0.977286
259	1.000114	0.977397
260	1.000140	0.977535
261	0.999246	0.976797
262	1.000239	0.977031
263	0.999904	0.976937
264	0.999864	0.976804
265	0.999129	0.975953
266	0.998458	0.974449
267	1.000666	0.975098
268	0.999762	0.974866
269	1.000630	0.975480
270	0.999960	0.975441
271	0.999172	0.974633
272	0.999829	0.974467
273	0.999847	0.974318
274	0.999204	0.973542
275	0.999996	0.973538
276	0.999367	0.972922
277	1.000174	0.973091
278	0.999998	0.973089
279	0.999521	0.972623
280	1.000402	0.973013
281	1.000080	0.973091
282	1.000140	0.973228
283	1.000001	0.973229
284	0.999389	0.972635
285	1.000391	0.973014
286	0.999928	0.972944
287	1.000079	0.973021
288	1.000062	0.973081
289	0.999865	0.972950
290	1.000051	0.972999
291	0.999460	0.972474
292	1.000298	0.972764
293	1.000312	0.973067
294	0.999830	0.972902
295	0.999776	0.972684
296	0.999417	0.972117
297	1.000005	0.972122
298	0.999537	0.971672
299	1.000220	0.971885
300	1.000618	0.972486
301	0.999497	0.971997
302	0.999852	0.971853
303	0.999919	0.971775
304	1.000318	0.972084
305	1.000071	0.972153
306	0.999821	0.971979
307	1.000174	0.972149
308	1.000375	0.972513
309	1.000502	0.973002
310	0.999283	0.972304
311	1.000867	0.973147
312	0.999037	0.972210
313	0.999728	0.971946
314	0.999488	0.971448
315	0.999668	0.971126
316	0.999982	0.971108
317	0.999714	0.970830
318	1.000696	0.971506
319	1.000560	0.972050
320	0.999999	0.972048
321	1.000387	0.972424
322	1.000149	0.972569
323	0.999995	0.972564
324	0.999941	0.972507
325	0.999695	0.972211
326	1.000449	0.972648
327	1.000007	0.972654
328	0.999478	0.972147
329	1.000075	0.972220
330	0.999719	0.971947
331	0.999770	0.971724
332	0.999845	0.971573
333	1.000159	0.971728
334	0.999928	0.971659
335	1.000161	0.971815
336	1.000000	0.971815
337	1.000674	0.972469
338	0.999906	0.972378
339	1.000018	0.972396
340	0.999900	0.972298
341	0.999034	0.971359
342	1.000593	0.971935
343	1.001626	0.973515
344	1.000220	0.973729
345	1.000266	0.973988
346	0.999703	0.973698
347	0.999673	0.973380
348	0.999769	0.973155
349	0.999451	0.972620
350	1.000637	0.973240
351	1.000003	0.973243
352	1.000447	0.973677
353	1.000290	0.973960
354	0.999404	0.973379
355	1.000091	0.973467
356	1.000217	0.973678
357	1.000151	0.973825
358	1.000002	0.973827
359	1.000063	0.973889
360	1.000079	0.973965
361	0.999760	0.973731
362	1.000277	0.974001
363	1.000001	0.974002
364	1.000002	0.974004
365	1.000069	0.974072
366	0.999783	0.973860
367	0.999999	0.973859
368	1.000170	0.974024
369	1.000239	0.974257
370	0.999783	0.974046
371	0.999844	0.973894
372	0.999877	0.973774
373	0.999786	0.973565
374	1.000782	0.974327
375	1.000165	0.974488
376	0.999997	0.974484
377	1.000322	0.974799
378	0.999628	0.974436
379	1.000527	0.974950
380	0.999861	0.974815
381	0.999533	0.974360
382	0.999603	0.973972
383	1.000000	0.973972
384	0.999793	0.973771
385	0.999334	0.973122
386	0.999999	0.973121
387	1.000372	0.973483
388	0.999838	0.973326
389	0.999998	0.973324
390	0.999855	0.973183
391	0.999753	0.972942
392	1.000050	0.972991
393	1.000633	0.973607
394	0.999835	0.973446
395	1.000212	0.973652
396	0.999936	0.973589
397	1.000322	0.973903
398	0.999864	0.973770
399	1.000018	0.973788
400	1.000072	0.973858
401	0.999788	0.973651
402	1.000006	0.973657
403	1.000156	0.973809
404	1.000000	0.973809
405	1.000006	0.973815
406	1.000160	0.973971
407	1.000006	0.973976
408	1.000222	0.974192
409	1.000072	0.974262
410	1.000000	0.974263
411	1.000446	0.974697
412	0.999929	0.974628
413	0.999167	0.973816
414	0.999986	0.973802
415	0.999305	0.973126
416	0.999177	0.972325
417	1.000564	0.972873
418	1.000146	0.973015
419	1.000456	0.973459
420	1.000239	0.973691
421	1.000078	0.973767
422	0.999851	0.973622
423	0.999997	0.973620
424	0.999787	0.973412
425	0.999346	0.972776
426	0.999964	0.972741
427	1.000321	0.973053
428	1.000147	0.973195
429	0.999838	0.973037
430	0.999693	0.972738
431	1.000001	0.972740
432	0.999546	0.972298
433	1.000004	0.972303
434	0.999996	0.972299
435	0.999272	0.971591
436	1.000007	0.971599
437	1.000682	0.972261
438	0.999777	0.972044
439	0.999662	0.971716
440	0.999997	0.971712
441	0.999700	0.971421
442	0.999980	0.971401
443	1.000328	0.971719
444	0.999309	0.971047
445	1.000230	0.971271
446	1.000148	0.971415
447	1.000394	0.971797
448	0.999927	0.971726
449	0.999414	0.971157
450	0.999973	0.971131
451	1.000143	0.971270
452	1.000158	0.971423
453	1.000009	0.971432
454	1.000308	0.971731
455	0.999842	0.971577
456	0.999896	0.971477
457	1.000022	0.971498
458	1.000239	0.971731
459	1.000002	0.971732
