Running strategy bcrp_start on dataset tse
Start Time: 2011-1003-12-39-03-641
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	1.028502	1.028502
2	1.030727	1.060104
3	0.958773	1.016400
4	0.993511	1.009805
5	0.969752	0.979260
6	0.981450	0.961095
7	1.025160	0.985276
8	1.003779	0.989000
9	1.046811	1.035295
10	0.962638	0.996615
11	1.001763	0.998372
12	0.985498	0.983893
13	0.983538	0.967696
14	0.996885	0.964682
15	1.013654	0.977855
16	1.019827	0.997243
17	1.037519	1.034658
18	0.997131	1.031690
19	1.032787	1.065516
20	1.117271	1.190470
21	1.070757	1.274703
22	0.910932	1.161168
23	0.961587	1.116565
24	0.898449	1.003176
25	1.143212	1.146843
26	1.066358	1.222945
27	0.985835	1.205623
28	0.912269	1.099853
29	1.033904	1.137142
30	1.005310	1.143180
31	0.982933	1.123669
32	1.028936	1.156184
33	0.969201	1.120575
34	0.975212	1.092798
35	1.001245	1.094158
36	1.038638	1.136434
37	1.042097	1.184275
38	0.998220	1.182167
39	1.011199	1.195406
40	1.001666	1.197398
41	1.029757	1.233029
42	0.951988	1.173830
43	1.013491	1.189666
44	0.996631	1.185658
45	1.034274	1.226295
46	0.964021	1.182175
47	1.012838	1.197351
48	0.987438	1.182310
49	1.027000	1.214232
50	1.003191	1.218107
51	0.998067	1.215752
52	1.008543	1.226138
53	0.987048	1.210257
54	1.002865	1.213724
55	1.015013	1.231945
56	0.991429	1.221386
57	1.019551	1.245266
58	1.000339	1.245688
59	0.998382	1.243672
60	0.994700	1.237080
61	0.929849	1.150298
62	0.992694	1.141894
63	0.984564	1.124267
64	0.948500	1.066367
65	1.024183	1.092155
66	1.023435	1.117750
67	1.000493	1.118301
68	1.000631	1.119006
69	1.002765	1.122100
70	1.000000	1.122100
71	0.992959	1.114200
72	1.002175	1.116623
73	0.998924	1.115421
74	0.947713	1.057099
75	1.002793	1.060052
76	0.996675	1.056527
77	1.004985	1.061793
78	1.021439	1.084557
79	0.975935	1.058457
80	1.006093	1.064906
81	1.002204	1.067253
82	0.998911	1.066091
83	1.013012	1.079963
84	1.057758	1.142339
85	0.948463	1.083467
86	0.984801	1.066999
87	1.002679	1.069858
88	0.999425	1.069243
89	0.996946	1.065977
90	1.000000	1.065977
91	0.996219	1.061947
92	0.997288	1.059067
93	1.000496	1.059592
94	1.000000	1.059592
95	1.002065	1.061781
96	1.001850	1.063745
97	1.007978	1.072232
98	0.991443	1.063057
99	0.998443	1.061401
100	1.006308	1.068096
101	1.029319	1.099411
102	1.028388	1.130622
103	0.958515	1.083718
104	1.028523	1.114628
105	0.974973	1.086733
106	1.001266	1.088109
107	0.995736	1.083469
108	0.999437	1.082859
109	0.998930	1.081701
110	1.038074	1.122886
111	0.972991	1.092558
112	1.002177	1.094936
113	0.997217	1.091889
114	0.972921	1.062322
115	1.011784	1.074841
116	0.996695	1.071288
117	0.992052	1.062773
118	0.986457	1.048380
119	1.007349	1.056084
120	0.976859	1.031645
121	0.989441	1.020752
122	0.993947	1.014574
123	0.996499	1.011022
124	1.011012	1.022155
125	0.991820	1.013794
126	0.997398	1.011156
127	1.019533	1.030906
128	0.985736	1.016201
129	0.995709	1.011841
130	0.999715	1.011552
131	1.007907	1.019550
132	0.997286	1.016783
133	1.006636	1.023530
134	0.999618	1.023140
135	0.993346	1.016332
136	1.013048	1.029593
137	1.001946	1.031597
138	1.000814	1.032437
139	0.997004	1.029344
140	1.000801	1.030168
141	1.001122	1.031324
142	1.009358	1.040975
143	1.014409	1.055975
144	0.984131	1.039219
145	0.971826	1.009939
146	1.007438	1.017451
147	0.997671	1.015081
148	0.972081	0.986741
149	0.998821	0.985577
150	0.993693	0.979361
151	0.936541	0.917212
152	0.970686	0.890324
153	1.018716	0.906988
154	1.055456	0.957285
155	1.017286	0.973833
156	0.981993	0.956297
157	0.964279	0.922137
158	1.036389	0.955693
159	0.982180	0.938663
160	0.994147	0.933169
161	1.007790	0.940439
162	1.001786	0.942118
163	0.961638	0.905976
164	0.981936	0.889611
165	0.984893	0.876171
166	0.984273	0.862392
167	0.982482	0.847284
168	1.025379	0.868787
169	1.023074	0.888834
170	1.046763	0.930399
171	1.002204	0.932450
172	0.997354	0.929983
173	1.010426	0.939678
174	1.017257	0.955895
175	0.977459	0.934348
176	0.980920	0.916520
177	0.992403	0.909558
178	1.024647	0.931976
179	0.999512	0.931521
180	1.039022	0.967871
181	1.067122	1.032836
182	0.981179	1.013397
183	1.017526	1.031158
184	1.192955	1.230125
185	0.961228	1.182431
186	0.945286	1.117736
187	0.992146	1.108957
188	0.971486	1.077336
189	0.970664	1.045732
190	1.000000	1.045732
191	0.977107	1.021792
192	0.994400	1.016070
193	1.007222	1.023408
194	1.032529	1.056698
195	0.987477	1.043465
196	1.018558	1.062829
197	1.016424	1.080286
