Running strategy best_start on dataset dja
Start Time: 2011-1003-12-39-38-234
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	1.000293	1.000293
2	1.000439	1.000732
3	1.001755	1.002488
4	0.998832	1.001317
5	1.000146	1.001463
6	1.000585	1.002049
7	0.999562	1.001610
8	0.999416	1.001024
9	0.998977	1.000000
10	0.998097	0.998097
11	0.999267	0.997366
12	1.000147	0.997512
13	1.000293	0.997805
14	1.001027	0.998829
15	0.999707	0.998537
16	1.000000	0.998537
17	1.000293	0.998829
18	1.000000	0.998829
19	1.000440	0.999268
20	0.999707	0.998976
21	0.999561	0.998537
22	0.999414	0.997951
23	0.999707	0.997658
24	1.000293	0.997951
25	1.000293	0.998244
26	1.000000	0.998244
27	1.000733	0.998976
28	0.999854	0.998829
29	0.999853	0.998683
30	1.000147	0.998829
31	0.999560	0.998390
32	0.999267	0.997658
33	0.999707	0.997366
34	1.000587	0.997951
35	0.999560	0.997512
36	1.000293	0.997805
37	0.998973	0.996780
38	0.999266	0.996049
39	1.000735	0.996780
40	0.999853	0.996634
41	0.999413	0.996049
42	1.000441	0.996488
43	0.999559	0.996049
44	1.000000	0.996049
45	1.000441	0.996488
46	0.999266	0.995756
47	1.000000	0.995756
48	0.999706	0.995463
49	0.999853	0.995317
50	1.000735	0.996049
51	0.999559	0.995610
52	1.000588	0.996195
53	0.999853	0.996049
54	1.000000	0.996049
55	1.000000	0.996049
56	1.000294	0.996341
57	1.000441	0.996780
58	0.999706	0.996488
59	1.000294	0.996780
60	0.996183	0.992975
61	1.000737	0.993707
62	0.998675	0.992390
63	1.000147	0.992536
64	0.999705	0.992244
65	0.998525	0.990780
66	0.999409	0.990195
67	0.999704	0.989902
68	0.997191	0.987121
69	0.999852	0.986975
70	1.000148	0.987121
71	1.001186	0.988292
72	0.999260	0.987560
73	1.000889	0.988438
74	1.000000	0.988438
75	0.999704	0.988146
76	1.000000	0.988146
77	1.000148	0.988292
78	0.999556	0.987853
79	1.000000	0.987853
80	0.999704	0.987560
81	1.000593	0.988146
82	1.000296	0.988438
83	0.999556	0.987999
84	0.999556	0.987560
85	1.000000	0.987560
86	1.000296	0.987853
87	0.999704	0.987560
88	1.000741	0.988292
89	0.999852	0.988146
90	1.000000	0.988146
91	1.001037	0.989170
92	0.999704	0.988878
93	0.999852	0.988731
94	1.000000	0.988731
95	0.999112	0.987853
96	0.999556	0.987414
97	1.000148	0.987560
98	1.000148	0.987707
99	0.999852	0.987560
100	1.000889	0.988438
101	1.000148	0.988585
102	1.000000	0.988585
103	0.999556	0.988146
104	1.000000	0.988146
105	0.999704	0.987853
106	1.000000	0.987853
107	0.999852	0.987707
108	1.000148	0.987853
109	1.000444	0.988292
110	1.000148	0.988438
111	0.999704	0.988146
112	1.000592	0.988731
113	1.000296	0.989024
114	1.000000	0.989024
115	0.999704	0.988731
116	1.000296	0.989024
117	0.999852	0.988878
118	1.000000	0.988878
119	0.999260	0.988146
120	1.000592	0.988731
121	1.000296	0.989024
122	0.999556	0.988585
123	1.000444	0.989024
124	1.000296	0.989317
125	1.000444	0.989756
126	1.000296	0.990048
127	0.999704	0.989756
128	1.000148	0.989902
129	0.998817	0.988731
130	1.000444	0.989170
131	1.000444	0.989609
132	0.999704	0.989317
133	1.000444	0.989756
134	1.000000	0.989756
135	0.999704	0.989463
136	1.000148	0.989609
137	1.000148	0.989756
138	1.000444	0.990195
139	1.000148	0.990341
140	1.000000	0.990341
141	1.000739	0.991073
142	1.000443	0.991512
143	1.000148	0.991658
144	1.000000	0.991658
145	1.000000	0.991658
146	1.000738	0.992390
147	1.000147	0.992536
148	1.000147	0.992683
149	1.000000	0.992683
150	1.000442	0.993122
151	0.999853	0.992975
152	1.000147	0.993122
153	0.999853	0.992975
154	0.999410	0.992390
155	1.000000	0.992390
156	0.999853	0.992244
157	0.999853	0.992097
158	0.999557	0.991658
159	1.000000	0.991658
160	1.000148	0.991804
161	0.999852	0.991658
162	0.999852	0.991512
163	1.000590	0.992097
164	1.000000	0.992097
165	0.999410	0.991512
166	1.000148	0.991658
167	0.999705	0.991365
168	0.999410	0.990780
169	0.999705	0.990487
170	0.999852	0.990341
171	1.000000	0.990341
172	0.999852	0.990195
173	0.999852	0.990048
174	0.999704	0.989756
175	1.000000	0.989756
176	0.999852	0.989609
177	0.999852	0.989463
178	1.000000	0.989463
179	1.000296	0.989756
180	0.999852	0.989609
181	0.999704	0.989317
182	0.999704	0.989024
183	1.000148	0.989170
184	0.999704	0.988878
185	1.000000	0.988878
186	1.000000	0.988878
187	1.000444	0.989317
188	0.999112	0.988438
189	1.000148	0.988585
190	0.999704	0.988292
191	1.000444	0.988731
192	0.999852	0.988585
193	0.999852	0.988438
194	0.999852	0.988292
195	1.000148	0.988438
196	1.000592	0.989024
197	0.999852	0.988878
198	1.000296	0.989170
199	1.000592	0.989756
200	1.000000	0.989756
201	1.000148	0.989902
202	0.999852	0.989756
203	0.999409	0.989170
204	0.999704	0.988878
205	0.999704	0.988585
206	0.999852	0.988438
207	0.999852	0.988292
208	1.000296	0.988585
209	1.000148	0.988731
210	1.000000	0.988731
211	0.999852	0.988585
