Running strategy best_start on dataset ndx
Start Time: 2011-1003-12-40-57-298
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	1.004262	1.004262
2	1.000000	1.004262
3	1.001516	1.005784
4	0.999395	1.005175
5	0.999697	1.004871
6	0.999697	1.004566
7	0.997879	1.002435
8	1.000607	1.003044
9	1.000303	1.003349
10	1.000000	1.003349
11	0.999393	1.002740
12	1.000304	1.003044
13	1.000000	1.003044
14	1.000607	1.003653
15	0.999697	1.003349
16	0.999393	1.002740
17	0.999089	1.001826
18	1.000608	1.002435
19	1.000607	1.003044
20	0.998786	1.001826
21	0.996050	0.997869
22	1.000610	0.998478
23	1.000000	0.998478
24	0.999085	0.997565
25	1.000305	0.997869
26	1.000000	0.997869
27	0.999085	0.996956
28	1.000000	0.996956
29	1.000000	0.996956
30	0.998473	0.995434
31	0.999083	0.994521
32	0.998470	0.992998
33	0.999387	0.992390
34	0.996933	0.989346
35	1.000000	0.989346
36	1.000000	0.989346
37	1.003077	0.992390
38	1.000307	0.992694
39	1.000000	0.992694
40	1.000307	0.992998
41	1.000000	0.992998
42	1.000307	0.993303
43	1.000613	0.993912
44	1.000000	0.993912
45	1.000000	0.993912
46	1.000306	0.994216
47	1.000000	0.994216
48	0.998775	0.992998
49	1.000307	0.993303
50	1.000306	0.993607
51	1.000919	0.994521
52	1.000000	0.994521
53	1.000000	0.994521
54	1.000000	0.994521
55	1.000612	0.995129
56	1.000000	0.995129
57	1.000000	0.995129
58	1.000000	0.995129
59	1.000000	0.995129
60	0.998776	0.993912
61	1.000613	0.994521
62	0.999694	0.994216
63	1.000000	0.994216
64	0.999694	0.993912
65	0.999081	0.992998
66	1.000307	0.993303
67	1.000306	0.993607
68	0.999081	0.992694
69	1.000307	0.992998
70	1.001226	0.994216
71	1.000612	0.994825
72	0.999388	0.994216
73	1.000919	0.995129
74	1.000000	0.995129
75	1.000000	0.995129
76	1.000000	0.995129
77	1.000000	0.995129
78	1.000000	0.995129
79	0.998470	0.993607
80	0.999694	0.993303
81	0.999387	0.992694
