Running strategy best_start on dataset tse
Start Time: 2011-1003-12-39-03-259
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	1.046510	1.046510
2	1.044440	1.093017
3	0.946809	1.034878
4	0.977528	1.011622
5	0.954023	0.965111
6	0.975904	0.941856
7	1.037040	0.976742
8	1.000000	0.976742
9	1.071430	1.046511
10	0.955556	1.000000
11	1.000000	1.000000
12	0.976744	0.976744
13	0.976191	0.953488
14	1.000000	0.953488
15	1.024390	0.976744
16	1.035710	1.011624
17	1.057470	1.069762
18	1.000000	1.069762
19	1.054350	1.127903
20	1.154640	1.302322
21	1.107140	1.441853
22	0.870968	1.255808
23	0.944444	1.186040
24	0.862745	1.023250
25	1.204540	1.232546
26	1.094340	1.348824
27	0.982759	1.325569
28	0.877193	1.162780
29	1.040000	1.209291
30	1.019230	1.232546
31	0.981132	1.209290
32	1.038460	1.255799
33	0.962963	1.209288
34	0.961538	1.162777
35	1.000000	1.162777
36	1.060000	1.232543
37	1.056600	1.302305
38	1.000000	1.302305
39	1.017860	1.325564
40	1.000000	1.325564
41	1.052630	1.395329
42	0.933333	1.302306
43	1.017860	1.325566
44	0.982456	1.302310
45	1.035710	1.348815
46	0.948276	1.279049
47	1.018180	1.302302
48	0.982143	1.279047
49	1.036360	1.325553
50	1.000000	1.325553
51	0.982456	1.302298
52	1.017860	1.325557
53	0.982456	1.302301
54	1.000000	1.302301
55	1.017860	1.325560
56	0.982456	1.302305
57	1.017860	1.325564
58	1.000000	1.325564
59	1.000000	1.325564
60	1.000000	1.325564
61	0.912281	1.209287
62	1.000000	1.209287
63	0.980769	1.186031
64	0.941176	1.116264
65	1.020830	1.139516
66	1.020410	1.162773
67	1.000000	1.162773
68	1.000000	1.162773
69	1.000000	1.162773
70	1.000000	1.162773
71	1.000000	1.162773
72	1.000000	1.162773
73	1.000000	1.162773
74	0.920000	1.069751
75	1.000000	1.069751
76	1.000000	1.069751
77	1.000000	1.069751
78	1.032610	1.104636
79	0.968421	1.069753
80	1.000000	1.069753
81	1.000000	1.069753
82	1.000000	1.069753
83	1.021740	1.093009
84	1.085110	1.186035
85	0.921569	1.093013
86	0.978723	1.069757
87	1.000000	1.069757
88	1.000000	1.069757
89	1.000000	1.069757
90	1.000000	1.069757
91	1.000000	1.069757
92	1.000000	1.069757
93	1.000000	1.069757
94	1.000000	1.069757
95	1.000000	1.069757
96	1.000000	1.069757
97	1.010870	1.081385
98	0.989247	1.069757
99	1.000000	1.069757
100	1.000000	1.069757
101	1.043480	1.116270
102	1.041670	1.162785
103	0.940000	1.093018
104	1.042550	1.139526
105	0.959184	1.093015
106	1.000000	1.093015
107	1.000000	1.093015
108	1.000000	1.093015
109	1.000000	1.093015
110	1.063830	1.162782
111	0.960000	1.116271
112	1.000000	1.116271
113	1.000000	1.116271
114	0.958333	1.069759
115	1.021740	1.093016
116	1.000000	1.093016
117	1.000000	1.093016
118	1.000000	1.093016
119	1.021280	1.116275
120	0.979167	1.093020
121	0.978723	1.069764
122	1.000000	1.069764
123	0.978261	1.046508
124	1.022220	1.069761
125	0.978261	1.046506
126	0.988889	1.034878
127	1.033710	1.069764
128	0.978261	1.046508
129	1.000000	1.046508
130	1.000000	1.046508
131	1.000000	1.046508
132	1.000000	1.046508
133	1.000000	1.046508
134	0.988889	1.034881
135	0.988764	1.023253
136	1.022730	1.046511
137	1.000000	1.046511
138	1.000000	1.046511
139	1.000000	1.046511
140	1.000000	1.046511
141	1.000000	1.046511
142	1.022220	1.069765
143	1.021740	1.093021
144	0.978723	1.069765
145	0.956522	1.023254
146	1.000000	1.023254
147	1.000000	1.023254
148	0.954545	0.976742
149	1.000000	0.976742
150	1.000000	0.976742
151	0.904762	0.883719
152	0.947368	0.837207
153	1.027780	0.860465
154	1.081080	0.930231
155	1.025000	0.953487
156	0.975610	0.930231
157	0.950000	0.883720
158	1.052630	0.930230
159	0.975000	0.906974
160	1.000000	0.906974
161	1.000000	0.906974
162	1.000000	0.906974
163	0.948718	0.860463
164	0.972973	0.837207
165	0.972222	0.813951
166	0.971429	0.790696
167	0.970588	0.767440
168	1.030300	0.790693
169	1.029410	0.813947
170	1.057140	0.860456
171	1.000000	0.860456
172	1.000000	0.860456
173	1.000000	0.860456
174	1.027030	0.883715
175	0.973684	0.860459
176	0.972973	0.837203
177	1.000000	0.837203
178	1.027780	0.860461
179	1.000000	0.860461
180	1.054050	0.906969
181	1.102560	0.999987
182	0.976744	0.976732
183	1.023810	0.999987
184	1.279070	1.279054
185	0.945454	1.209287
186	0.913462	1.104637
187	0.989474	1.093010
188	0.957447	1.046499
189	0.955556	0.999989
190	1.000000	0.999989
191	0.976744	0.976733
192	1.000000	0.976733
193	1.000000	0.976733
194	1.047620	1.023245
195	0.977273	0.999990
196	1.023260	1.023249
197	1.022730	1.046508
198	1.000000	1.046508
199	1.000000	1.046508
200	0.977778	1.023252
201	1.068180	1.093018
202	1.000000	1.093018
203	1.021280	1.116277
204	0.958333	1.069765
205	0.989130	1.058137
206	1.000000	1.058137
207	1.054950	1.116281
208	1.166670	1.302332
209	0.928571	1.209308
210	1.019230	1.232563
211	0.981132	1.209307
212	1.096150	1.325582
213	0.982456	1.302326
214	0.928571	1.209302
215	1.038460	1.255812
216	1.037040	1.302327
217	1.053570	1.372092
218	1.016950	1.395349
219	1.000000	1.395349
220	1.000000	1.395349
221	1.016670	1.418610
222	1.114750	1.581395
223	0.941176	1.488371
224	0.953125	1.418604
225	1.000000	1.418604
226	0.983607	1.395349
227	1.033330	1.441856
228	1.016130	1.465113
229	1.000000	1.465113
230	0.984127	1.441857
231	0.967742	1.395346
232	1.000000	1.395346
233	1.000000	1.395346
234	0.983333	1.372089
235	1.000000	1.372089
236	0.983051	1.348834
237	1.000000	1.348834
238	1.017240	1.372088
239	1.000000	1.372088
240	0.949153	1.302321
241	0.857143	1.116276
242	1.104170	1.232558
243	1.000000	1.232558
244	0.981132	1.209302
245	1.019230	1.232557
246	1.037740	1.279074
247	1.000000	1.279074
248	1.054550	1.348847
249	1.000000	1.348847
250	1.017240	1.372101
251	0.932203	1.279077
252	1.036360	1.325584
253	0.947368	1.255816
254	1.000000	1.255816
255	1.055560	1.325589
256	0.964912	1.279077
257	1.000000	1.279077
258	1.000000	1.279077
259	1.018180	1.302331
260	1.017860	1.325590
261	0.964912	1.279078
262	0.981818	1.255822
263	1.018520	1.279079
264	1.109090	1.418614
265	0.983607	1.395359
266	0.983333	1.372102
267	0.949153	1.302335
268	1.035710	1.348842
269	1.017240	1.372096
270	1.000000	1.372096
271	0.983051	1.348840
272	1.000000	1.348840
273	0.982759	1.325585
274	1.017540	1.348835
275	1.000000	1.348835
276	0.982759	1.325580
277	1.000000	1.325580
278	1.000000	1.325580
279	1.000000	1.325580
280	1.000000	1.325580
281	1.035090	1.372095
282	1.016950	1.395352
283	0.983333	1.372095
284	0.966102	1.325584
285	1.087720	1.441864
286	0.983871	1.418608
287	0.983607	1.395353
288	1.000000	1.395353
289	1.000000	1.395353
290	1.033330	1.441860
291	1.032260	1.488375
292	1.031250	1.534886
293	1.030300	1.581394
294	0.970588	1.534882
295	0.984848	1.511625
296	0.938462	1.418603
297	0.967213	1.372091
298	0.983051	1.348835
299	1.000000	1.348835
300	1.017240	1.372089
301	1.000000	1.372089
302	1.050850	1.441860
303	0.983871	1.418604
304	1.016390	1.441855
305	0.983871	1.418599
306	1.000000	1.418599
307	0.983607	1.395344
308	0.983333	1.372088
309	1.016950	1.395345
310	1.050000	1.465112
311	0.984127	1.441857
312	1.048390	1.511628
313	1.000000	1.511628
314	1.046150	1.581390
315	1.000000	1.581390
316	1.088240	1.720932
317	1.162160	1.999998
318	0.953488	1.906974
319	0.987805	1.883718
320	0.987654	1.860462
321	0.962500	1.790695
322	1.000000	1.790695
323	0.974026	1.744183
