Running strategy cwmr_stdev_start on dataset dja
Start Time: 2011-1003-12-39-34-048
----CWMR-Stdev(2.00, 0.50, 0.0000) On --------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.000491	1.000491
2	0.998869	0.999359
3	1.002616	1.001974
4	1.000999	1.002975
5	0.999141	1.002113
6	1.000000	1.002113
7	1.002075	1.004193
8	0.999556	1.003747
9	0.998054	1.001794
10	0.999760	1.001554
11	0.998713	1.000265
12	1.001185	1.001451
13	0.998881	1.000331
14	0.999819	1.000150
15	1.000360	1.000510
16	1.000000	1.000510
17	1.001003	1.001513
18	0.998556	1.000067
19	1.002665	1.002733
20	0.999704	1.002436
21	0.998902	1.001335
22	0.999048	1.000382
23	1.000780	1.001162
24	1.001320	1.002484
25	1.000561	1.003046
26	0.999664	1.002709
27	0.997990	1.000693
28	1.001007	1.001701
29	1.000446	1.002148
30	1.000280	1.002429
31	1.000621	1.003051
32	0.997729	1.000773
33	0.999703	1.000476
34	1.000599	1.001075
35	1.000000	1.001075
36	1.002012	1.003089
37	1.000000	1.003089
38	1.000244	1.003335
39	1.002016	1.005357
40	0.999663	1.005018
41	1.000669	1.005691
42	1.000000	1.005691
43	0.999901	1.005591
44	0.999431	1.005019
45	1.000624	1.005647
46	1.000569	1.006219
47	1.000282	1.006503
48	0.998860	1.005356
49	1.000254	1.005612
50	1.000604	1.006220
51	0.999800	1.006019
52	1.000000	1.006019
53	1.000000	1.006019
54	1.000000	1.006019
55	1.000000	1.006019
56	0.999103	1.005116
57	1.000604	1.005723
58	1.000000	1.005723
59	1.001779	1.007513
60	0.993915	1.001382
61	1.001494	1.002878
62	0.999327	1.002203
63	1.000557	1.002761
64	1.000000	1.002761
65	0.996599	0.999351
66	0.997970	0.997322
67	1.004124	1.001435
68	0.998358	0.999790
69	1.000561	1.000351
70	1.000526	1.000878
71	1.003083	1.003964
72	1.000000	1.003964
73	0.998830	1.002790
74	1.000585	1.003377
75	1.001025	1.004405
76	1.000381	1.004788
77	1.000000	1.004788
78	0.999442	1.004227
79	1.000299	1.004527
80	0.998108	1.002627
81	1.001026	1.003655
82	0.999368	1.003021
83	1.000000	1.003021
84	1.000386	1.003408
85	1.000000	1.003408
86	1.000119	1.003527
87	1.000000	1.003527
88	1.000674	1.004203
89	0.998978	1.003177
90	1.000000	1.003177
91	1.000000	1.003177
92	0.999099	1.002273
93	1.001678	1.003955
94	1.000000	1.003955
95	1.000193	1.004148
96	0.999556	1.003702
97	1.000191	1.003894
98	1.000803	1.004700
99	0.999635	1.004333
100	0.999369	1.003699
101	1.002097	1.005804
102	1.000368	1.006174
103	1.000000	1.006174
104	0.998981	1.005149
105	0.998951	1.004095
106	0.999368	1.003460
107	1.002233	1.005701
108	1.000000	1.005701
109	0.998656	1.004349
110	1.001020	1.005374
111	1.000634	1.006011
112	1.000712	1.006727
113	1.000000	1.006727
114	0.999505	1.006229
115	0.999441	1.005666
116	1.000527	1.006196
117	0.999270	1.005461
118	0.999669	1.005128
119	0.998650	1.003772
120	1.000000	1.003772
121	0.998978	1.002745
122	1.000000	1.002745
123	1.000000	1.002745
124	0.999885	1.002630
125	1.000608	1.003239
126	1.000000	1.003239
127	1.000262	1.003502
128	0.998422	1.001919
129	0.999212	1.001129
130	1.001025	1.002155
131	1.000583	1.002740
132	1.000554	1.003295
133	1.000596	1.003893
134	1.000528	1.004424
135	0.999933	1.004356
136	1.000000	1.004356
137	1.000895	1.005255
138	1.001215	1.006476
139	1.000655	1.007135
140	1.000369	1.007507
141	1.000000	1.007507
142	1.001026	1.008540
143	1.000143	1.008684
144	1.000676	1.009366
145	1.000000	1.009366
146	1.001352	1.010731
147	1.000000	1.010731
148	1.000633	1.011371
149	1.001170	1.012554
150	1.001048	1.013615
151	1.000000	1.013615
152	1.001168	1.014799
153	1.000000	1.014799
154	1.000285	1.015088
155	1.000004	1.015092
156	1.000529	1.015629
157	1.000055	1.015685
158	0.999714	1.015395
159	1.001024	1.016434
160	1.000530	1.016972
161	1.000858	1.017845
162	1.000000	1.017845
163	1.001117	1.018981
164	1.001022	1.020023
165	1.000183	1.020210
166	1.001022	1.021253
167	1.000000	1.021253
168	1.001024	1.022298
169	0.999441	1.021726
170	0.999707	1.021427
171	1.000000	1.021427
172	0.999262	1.020673
173	0.999915	1.020586
174	1.000000	1.020586
175	1.000656	1.021256
176	1.000635	1.021904
177	0.999752	1.021651
178	1.000677	1.022342
179	1.000400	1.022751
180	1.000000	1.022751
181	0.999238	1.021971
182	1.000000	1.021971
183	1.000000	1.021971
184	1.000000	1.021971
185	1.000000	1.021971
186	0.999659	1.021623
187	1.000636	1.022273
188	1.000000	1.022273
189	1.000000	1.022273
190	1.000000	1.022273
191	1.000604	1.022890
192	1.001007	1.023920
193	0.999469	1.023376
194	1.000000	1.023376
195	0.999503	1.022867
196	1.001064	1.023956
197	0.999450	1.023393
198	1.000157	1.023553
199	1.000000	1.023553
200	1.000367	1.023928
201	1.001122	1.025078
202	1.000000	1.025078
203	0.998729	1.023774
204	1.000000	1.023774
205	1.000000	1.023774
206	1.000000	1.023774
207	1.002055	1.025879
208	1.000545	1.026438
209	1.000713	1.027170
210	1.000000	1.027170
211	1.000678	1.027866
212	1.001025	1.028919
213	1.000000	1.028919
214	1.001429	1.030389
215	1.000000	1.030389
216	1.000000	1.030389
217	0.998643	1.028991
218	0.999321	1.028292
219	0.999320	1.027593
220	1.000000	1.027593
221	1.000000	1.027593
222	1.001025	1.028646
223	1.000303	1.028958
224	1.000999	1.029985
225	1.000428	1.030426
226	0.999198	1.029600
227	1.000000	1.029600
228	0.999654	1.029243
229	0.999429	1.028656
230	1.000529	1.029201
231	0.999833	1.029029
232	1.000469	1.029512
233	1.000014	1.029527
234	1.002047	1.031635
235	1.000282	1.031925
236	1.000000	1.031925
237	0.999319	1.031223
238	1.000000	1.031223
239	1.001271	1.032534
240	0.999491	1.032009
241	0.999428	1.031418
242	1.000096	1.031517
243	1.000995	1.032543
244	0.999611	1.032141
245	1.000738	1.032902
246	0.999413	1.032297
247	0.999470	1.031749
248	0.999316	1.031044
249	0.999465	1.030492
250	1.000000	1.030492
251	1.000000	1.030492
252	0.998976	1.029438
253	1.001025	1.030492
254	1.000000	1.030492
255	0.999428	1.029902
256	0.997449	1.027275
257	1.000000	1.027275
258	1.002252	1.029588
259	1.000791	1.030402
260	1.000000	1.030402
261	0.999473	1.029859
262	1.000565	1.030441
263	1.000000	1.030441
264	1.000096	1.030540
265	1.000000	1.030540
266	0.997947	1.028424
267	0.999314	1.027719
268	0.999857	1.027571
269	1.000304	1.027884
270	1.001064	1.028977
271	1.000717	1.029715
272	1.001026	1.030771
273	1.000342	1.031123
274	1.000532	1.031672
275	1.000000	1.031672
276	0.999413	1.031067
277	1.000454	1.031535
278	1.000000	1.031535
279	1.000000	1.031535
280	0.999798	1.031327
281	1.000263	1.031599
282	1.000101	1.031703
283	1.000000	1.031703
284	1.000000	1.031703
285	1.000000	1.031703
286	1.000000	1.031703
287	1.000498	1.032216
288	1.000000	1.032216
289	0.999851	1.032063
290	1.000000	1.032063
291	0.999394	1.031437
292	1.000371	1.031820
293	1.000000	1.031820
294	1.000000	1.031820
295	1.001280	1.033140
296	0.999435	1.032557
297	1.001025	1.033615
298	1.000192	1.033813
299	1.000641	1.034476
300	1.001353	1.035876
301	1.000466	1.036359
302	0.999360	1.035696
303	1.001024	1.036756
304	1.000313	1.037080
305	1.000743	1.037851
306	1.000000	1.037851
307	1.000510	1.038380
308	1.000000	1.038380
309	1.000743	1.039152
310	1.000098	1.039253
311	0.999095	1.038313
312	1.000000	1.038313
