Running strategy cwmr_stdev_start on dataset ndx
Start Time: 2011-1003-12-40-32-881
----CWMR-Stdev(2.00, 0.50, 0.0000) On --------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.000803	1.000803
2	0.999774	1.000576
3	1.001334	1.001911
4	1.000423	1.002335
5	0.995989	0.998315
6	0.998856	0.997172
7	1.000756	0.997926
8	0.997583	0.995513
9	1.005167	1.000658
10	1.001724	1.002383
11	0.998267	1.000646
12	1.003541	1.004189
13	1.001454	1.005649
14	0.997305	1.002939
15	0.997523	1.000454
16	1.001355	1.001809
17	0.996512	0.998315
18	1.002389	1.000700
19	1.004016	1.004719
20	0.999903	1.004622
21	0.999291	1.003910
22	0.999611	1.003520
23	1.001481	1.005006
24	1.003275	1.008297
25	0.999894	1.008191
26	0.997291	1.005459
27	1.000000	1.005459
28	1.002074	1.007544
29	1.000633	1.008181
30	1.000677	1.008864
31	1.001427	1.010303
32	0.999533	1.009832
33	0.999632	1.009460
34	0.998933	1.008383
35	1.000000	1.008383
36	0.999477	1.007856
37	0.999089	1.006938
38	1.000465	1.007406
39	1.001294	1.008710
40	0.999854	1.008563
41	1.000916	1.009487
42	1.000867	1.010363
43	1.000000	1.010363
44	1.000385	1.010752
45	1.000697	1.011457
46	0.999272	1.010721
47	0.997648	1.008344
48	0.999214	1.007552
49	0.999767	1.007317
50	1.000000	1.007317
51	1.000167	1.007485
52	1.000653	1.008143
53	0.999033	1.007169
54	1.000443	1.007615
55	1.001170	1.008794
56	1.001723	1.010533
57	0.999410	1.009937
58	0.998855	1.008780
59	1.002644	1.011447
60	0.998622	1.010054
61	1.000000	1.010054
62	1.000924	1.010987
63	1.000750	1.011745
64	0.998146	1.009869
65	0.998454	1.008308
66	0.995206	1.003474
67	1.002926	1.006410
68	0.995763	1.002146
69	0.998795	1.000938
70	0.998513	0.999451
71	1.002613	1.002062
72	1.000000	1.002062
73	1.000789	1.002852
74	0.999588	1.002439
75	0.999364	1.001802
76	1.000000	1.001802
77	0.998273	1.000071
78	1.001429	1.001501
79	1.002806	1.004311
80	0.997263	1.001562
81	1.000696	1.002259
82	0.999404	1.001662
83	1.001882	1.003547
84	1.000419	1.003968
85	1.000000	1.003968
86	1.000787	1.004758
87	0.999076	1.003830
88	1.001287	1.005122
89	0.999850	1.004972
90	1.001554	1.006533
91	1.002095	1.008642
92	1.001264	1.009916
93	0.998645	1.008548
94	1.000927	1.009483
95	1.001135	1.010628
96	1.000721	1.011357
97	1.000761	1.012127
98	1.000749	1.012885
99	1.001575	1.014480
100	1.000645	1.015134
101	1.001880	1.017043
102	1.001819	1.018893
103	1.000388	1.019288
104	0.998323	1.017579
105	0.998199	1.015746
106	0.999680	1.015421
107	1.001128	1.016567
108	1.000910	1.017492
109	0.999301	1.016781
110	1.001359	1.018163
111	1.000192	1.018359
112	1.005391	1.023849
113	1.000567	1.024430
114	1.000379	1.024817
115	0.998636	1.023419
116	1.001803	1.025265
117	0.999245	1.024490
118	0.998996	1.023462
119	0.999638	1.023092
120	1.001351	1.024474
121	1.000000	1.024474
122	0.999149	1.023602
123	1.000177	1.023783
124	1.000302	1.024092
125	1.001896	1.026034
126	0.999367	1.025385
127	0.999073	1.024435
128	1.000000	1.024435
129	0.997279	1.021647
130	1.002729	1.024435
131	0.998399	1.022795
132	0.999800	1.022590
133	1.000992	1.023604
134	1.000632	1.024251
135	1.000000	1.024251
136	0.998987	1.023213
137	1.000000	1.023213
138	1.001683	1.024935
139	0.999770	1.024699
140	0.999450	1.024136
141	0.999357	1.023478
142	1.001471	1.024983
143	1.000830	1.025834
144	0.998643	1.024442
145	1.000000	1.024442
146	1.000000	1.024442
147	0.999780	1.024216
148	1.001401	1.025651
149	0.999145	1.024774
150	1.001246	1.026051
151	1.000000	1.026051
152	1.000000	1.026051
153	1.000737	1.026808
154	0.999678	1.026477
155	1.000000	1.026477
156	1.001228	1.027737
157	1.000775	1.028534
158	1.000022	1.028556
159	0.997513	1.025998
160	1.000202	1.026205
161	1.000715	1.026939
162	0.998156	1.025045
163	1.000462	1.025518
164	1.000642	1.026177
165	1.000266	1.026450
166	0.999937	1.026385
167	1.000000	1.026385
168	1.001175	1.027592
169	1.000700	1.028311
170	1.000693	1.029024
171	0.999712	1.028728
172	1.000795	1.029546
173	1.000000	1.029546
174	0.997455	1.026926
175	1.000531	1.027470
176	0.999385	1.026838
177	1.000129	1.026970
178	1.000000	1.026970
179	1.001219	1.028222
180	1.000000	1.028222
181	1.001366	1.029627
182	0.997877	1.027441
183	1.000000	1.027441
184	1.000400	1.027852
185	1.001065	1.028946
186	1.000773	1.029741
187	1.000000	1.029741
