Running strategy cwmr_stdev_start on dataset tse
Start Time: 2011-1003-12-38-55-793
----CWMR-Stdev(2.00, 0.50, 0.0000) On --------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.015905	1.015905
2	1.022351	1.038612
3	1.022583	1.062068
4	0.995065	1.056826
5	0.975061	1.030470
6	1.010646	1.041440
7	0.979809	1.020413
8	0.993514	1.013794
9	1.065732	1.080433
10	0.968091	1.045957
11	0.988315	1.033734
12	0.992245	1.025718
13	0.972135	0.997136
14	1.022289	1.019361
15	0.999046	1.018389
16	1.001632	1.020051
17	1.046769	1.067758
18	0.990756	1.057887
19	1.008487	1.066866
20	0.993333	1.059753
21	1.023051	1.084181
22	1.009332	1.094299
23	0.956032	1.046185
24	0.865763	0.905748
25	1.204540	1.091010
26	1.000678	1.091749
27	0.997322	1.088826
28	1.025781	1.116897
29	1.040000	1.161573
30	0.997479	1.158645
31	0.990889	1.148089
32	1.016066	1.166534
33	0.975545	1.138007
34	0.990493	1.127187
35	0.999407	1.126519
36	1.016468	1.145071
37	1.005691	1.151588
38	1.004570	1.156851
39	1.018654	1.178431
40	1.027358	1.210671
41	1.002724	1.213968
42	0.999996	1.213963
43	1.015021	1.232198
44	1.048190	1.291578
45	0.990678	1.279538
46	1.005545	1.286633
47	0.983629	1.265569
48	1.039261	1.315257
49	1.001022	1.316601
50	1.028446	1.354053
51	1.018274	1.378798
52	1.001655	1.381079
53	1.020623	1.409561
54	1.009384	1.422788
55	0.973837	1.385563
56	1.007817	1.396394
57	1.005528	1.404114
58	0.982361	1.379347
59	1.052250	1.451418
60	0.998325	1.448987
61	0.985379	1.427801
62	1.004806	1.434662
63	1.056219	1.515318
64	0.972466	1.473596
65	1.035222	1.525499
66	1.004379	1.532179
67	1.067324	1.635330
68	1.010062	1.651785
69	1.039642	1.717266
70	1.036444	1.779849
71	0.963485	1.714857
72	1.027088	1.761309
73	1.011268	1.781157
74	0.967116	1.722586
75	1.019945	1.756942
76	0.958575	1.684160
77	1.111898	1.872615
78	1.003930	1.879973
79	1.053172	1.979936
80	1.009657	1.999055
81	1.017961	2.034961
82	1.006196	2.047570
83	1.004888	2.057579
84	1.014169	2.086732
85	1.005826	2.098890
86	0.994497	2.087340
87	1.003313	2.094256
88	0.991685	2.076841
89	0.977144	2.029374
90	0.983373	1.995631
91	1.013397	2.022367
92	1.033471	2.090057
93	1.032129	2.157208
94	1.001232	2.159866
95	1.005342	2.171404
96	1.030867	2.238429
97	1.005369	2.250448
98	1.080939	2.432597
99	0.973608	2.368395
100	0.979482	2.319800
101	1.041656	2.416433
102	1.009799	2.440112
103	1.003435	2.448493
104	1.026390	2.513110
105	1.019542	2.562222
106	0.928827	2.379861
107	1.024307	2.437707
108	0.992032	2.418283
109	1.006833	2.434807
110	1.028570	2.504370
111	0.940995	2.356599
112	1.045230	2.463188
113	0.998270	2.458928
114	1.010768	2.485406
115	0.886190	2.202541
116	0.968944	2.134139
117	1.018731	2.174115
118	0.963397	2.094535
119	0.973465	2.038957
120	0.995126	2.029020
121	0.977341	1.983043
122	0.993181	1.969521
123	1.045216	2.058574
124	0.990467	2.038950
125	1.052498	2.145990
126	0.996849	2.139228
127	1.048541	2.243067
128	1.009966	2.265421
129	0.999297	2.263828
130	0.989319	2.239648
131	1.004577	2.249898
132	1.011728	2.276284
133	1.031531	2.348058
134	0.970968	2.279888
135	1.005935	2.293419
136	1.046708	2.400541
137	0.980547	2.353842
138	0.942809	2.219224
139	1.005155	2.230663
140	0.994685	2.218808
141	1.010013	2.241025
142	0.997509	2.235441
143	1.001967	2.239838
144	1.027879	2.302282
145	1.007464	2.319465
146	1.025528	2.378676
147	1.022939	2.433240
148	1.008017	2.452747
149	1.013125	2.484940
150	0.948819	2.357758
151	0.911392	2.148842
152	1.125000	2.417447
153	1.029223	2.488093
154	0.992852	2.470309
155	1.010843	2.497093
156	0.996203	2.487612
157	0.983313	2.446100
158	0.954133	2.333905
159	0.977644	2.281728
160	1.127097	2.571728
161	1.046819	2.692133
162	1.010548	2.720531
163	1.041397	2.833153
164	0.989949	2.804678
165	0.999372	2.802916
166	1.043848	2.925819
167	0.979917	2.867060
168	1.014021	2.907259
169	1.109311	3.225055
170	0.989334	3.190656
171	1.001960	3.196910
172	1.000898	3.199781
173	1.031223	3.299687
174	1.024111	3.379246
175	1.012096	3.420122
176	1.007512	3.445812
177	0.994677	3.427470
178	1.084236	3.716188
179	1.004676	3.733565
180	1.002674	3.743549
181	1.001220	3.748118
182	0.994846	3.728799
183	0.990489	3.693333
184	1.001473	3.698774
185	0.993391	3.674330
186	0.977618	3.592090
187	0.989266	3.553532
188	0.961916	3.418199
189	1.007844	3.445010
190	1.003509	3.457100
191	0.955931	3.304749
192	1.064048	3.516411
193	1.001114	3.520328
194	1.031627	3.631663
195	1.031349	3.745511
196	1.018512	3.814848
197	0.975194	3.720217
198	1.000000	3.720217
199	0.987279	3.672893
200	0.978050	3.592272
201	1.082503	3.888644
202	1.018669	3.961242
203	0.920960	3.648144
204	1.008480	3.679081
205	1.000000	3.679081
206	0.999714	3.678030
207	1.009228	3.711973
208	0.993542	3.688002
209	1.002851	3.698515
210	0.989308	3.658971
211	1.013223	3.707354
212	1.018301	3.775202
213	1.007690	3.804234
214	0.987139	3.755306
215	0.987719	3.709188
216	0.982450	3.644092
217	1.041578	3.795605
218	0.996849	3.783644
219	1.013948	3.836419
220	0.998868	3.832076
221	0.999503	3.830170
222	0.997516	3.820654
223	0.994391	3.799225
224	0.970549	3.687335
225	1.007990	3.716795
226	0.908366	3.376209
227	1.038460	3.506058
228	1.011486	3.546328
229	0.978556	3.470280
230	0.951449	3.301795
231	1.043480	3.445357
232	0.982123	3.383764
233	1.080050	3.654634
234	0.966813	3.533346
235	1.014763	3.585509
236	1.031773	3.699431
237	0.986819	3.650670
238	1.027757	3.752001
239	1.014623	3.806865
240	1.031274	3.925920
241	0.925359	3.632887
242	1.104170	4.011325
243	1.010856	4.054871
244	1.003491	4.069025
245	1.002971	4.081112
246	0.993208	4.053393
247	0.999032	4.049470
248	0.996870	4.036794
249	1.004663	4.055618
250	0.997706	4.046317
251	1.021938	4.135085
252	1.032288	4.268599
253	0.951181	4.060210
254	1.031077	4.186389
255	0.997147	4.174445
256	0.989112	4.128995
257	1.017596	4.201648
258	0.961403	4.039476
259	0.997473	4.029269
260	0.993544	4.003257
261	1.040838	4.166740
262	1.014181	4.225828
263	1.003719	4.241542
264	0.992670	4.210451
265	0.990358	4.169854
266	0.997174	4.158070
267	1.025363	4.263533
268	1.036848	4.420635
269	1.012878	4.477563
270	0.989125	4.428868
271	0.985901	4.366426
272	0.983958	4.296382
273	1.061160	4.559149
274	1.014844	4.626825
275	1.010110	4.673600
276	1.018526	4.760184
277	0.989534	4.710363
278	0.989670	4.661703
279	1.023690	4.772140
280	1.007225	4.806621
281	1.046597	5.030596
282	0.993861	4.999715
283	1.039005	5.194729
284	1.011915	5.256621
285	1.023585	5.380598
286	1.007285	5.419794
287	1.003432	5.438395
288	1.035797	5.633073
289	0.954301	5.375645
290	0.994709	5.347203
291	0.993769	5.313886
292	1.036161	5.506043
293	1.011329	5.568420
294	1.006030	5.602000
295	1.020654	5.717701
296	1.002147	5.729974
297	1.052375	6.030080
298	1.022506	6.165791
299	1.003290	6.186077
300	0.996085	6.161860
301	1.002362	6.176415
302	1.034396	6.388859
303	0.970375	6.199586
304	1.042077	6.460449
305	1.005734	6.497496
306	0.994124	6.459315
307	0.996022	6.433619
308	1.019803	6.561024
309	0.997277	6.543156
310	1.028533	6.729855
