Running strategy cwmr_stdev_start on dataset week_nyse_o
Start Time: 2011-1003-12-41-35-445
----CWMR-Stdev(2.00, 0.50, 0.0000) On --------
Parameters [phi:2.000000, epsilon:0.500000, tc:0.000000]
day	 Daily Return	 Total return
1	1.041820	1.041820
2	0.991152	1.032602
3	0.973381	1.005115
4	1.000002	1.005117
5	1.063308	1.068749
6	1.007523	1.076789
7	1.004557	1.081697
8	0.973352	1.052871
9	0.976716	1.028356
10	1.032028	1.061292
11	0.971751	1.031312
12	0.954792	0.984689
13	1.031552	1.015757
14	1.030210	1.046443
15	0.983704	1.029390
16	0.935475	0.962969
17	0.972353	0.936346
18	1.004512	0.940571
19	1.010053	0.950026
20	0.999838	0.949872
21	0.963513	0.915214
22	1.000001	0.915215
23	0.989213	0.905342
24	0.922361	0.835053
25	0.989880	0.826602
26	1.143607	0.945308
27	1.003144	0.948280
28	1.003716	0.951804
29	0.990476	0.942739
30	1.045101	0.985258
31	0.923139	0.909530
32	1.169005	1.063245
33	0.990573	1.053221
34	0.985364	1.037806
35	1.023737	1.062440
36	1.099997	1.168681
37	0.992943	1.160434
38	1.003414	1.164395
39	0.999775	1.164134
40	1.016447	1.183280
41	1.086541	1.285681
42	0.989419	1.272077
43	1.017450	1.294275
44	0.999999	1.294274
45	1.040086	1.346156
46	1.015570	1.367115
47	0.998317	1.364815
48	0.989973	1.351130
49	0.920937	1.244305
50	0.900000	1.119875
51	1.111114	1.244309
52	1.006279	1.252121
53	0.992034	1.242147
54	0.989950	1.229663
55	1.034809	1.272466
56	0.960984	1.222820
57	1.005134	1.229098
58	1.005957	1.236420
59	1.049227	1.297284
60	1.003435	1.301740
61	1.016703	1.323483
62	0.986882	1.306122
63	1.046343	1.366652
64	1.029838	1.407431
65	1.002500	1.410949
66	0.992495	1.400361
67	1.074751	1.505039
68	0.964743	1.451976
69	0.985269	1.430587
70	0.993575	1.421395
71	1.004592	1.427922
72	1.015972	1.450729
73	0.999243	1.449631
74	0.936671	1.357827
75	0.961343	1.305337
76	0.975612	1.273503
77	1.022919	1.302690
78	1.023608	1.333444
79	0.990210	1.320390
80	1.024490	1.352727
81	1.046868	1.416126
82	1.006424	1.425224
83	0.980880	1.397973
84	0.998649	1.396084
85	1.049380	1.465022
86	1.035997	1.517759
87	1.001939	1.520701
88	1.021520	1.553426
89	0.970822	1.508101
90	0.975062	1.470491
91	0.927595	1.364020
92	0.998473	1.361938
93	0.986063	1.342957
94	1.049185	1.409010
95	1.010981	1.424482
96	1.013789	1.444123
97	0.982423	1.418740
98	1.031841	1.463914
99	1.032917	1.512102
100	1.003096	1.516783
101	1.026051	1.556296
102	0.985186	1.533241
103	1.023879	1.569853
104	0.996719	1.564703
105	1.053380	1.648226
106	1.000608	1.649227
107	1.054789	1.739587
108	0.994535	1.730081
109	0.973265	1.683828
110	0.969815	1.633001
111	1.037049	1.693502
112	1.012655	1.714933
113	1.037143	1.778629
114	1.006454	1.790109
115	1.030091	1.843976
116	1.012768	1.867521
117	1.040310	1.942801
118	0.968419	1.881445
119	1.046143	1.968261
120	0.980642	1.930159
121	0.940345	1.815016
122	1.105261	2.006066
123	0.990820	1.987650
124	1.015232	2.017927
125	1.015159	2.048517
126	1.154009	2.364007
127	1.017453	2.405266
128	1.024982	2.465355
129	1.026547	2.530802
130	1.001561	2.534753
131	1.004894	2.547158
132	0.977754	2.490495
133	1.009391	2.513884
134	1.000459	2.515038
135	1.095441	2.755077
136	0.994424	2.739715
137	0.873038	2.391876
138	1.090914	2.609332
139	1.015667	2.650212
140	0.959586	2.543107
141	1.007397	2.561917
142	0.947208	2.426670
143	1.002030	2.431597
144	1.005266	2.444401
145	0.915869	2.238752
146	1.190483	2.665196
147	0.991752	2.643214
148	0.976415	2.580873
149	1.070951	2.763988
150	1.026249	2.836540
151	1.000270	2.837307
152	1.122618	3.185211
153	0.997258	3.176478
154	0.992906	3.153943
155	1.117695	3.525147
156	1.028789	3.626632
157	0.935065	3.391138
158	1.028572	3.488028
159	1.023330	3.569404
160	0.982126	3.505604
161	1.056495	3.703652
162	1.024728	3.795236
163	0.964495	3.660485
164	0.954369	3.493452
165	1.117649	3.904454
166	1.074428	4.195056
167	0.990356	4.154600
168	1.078851	4.482194
169	1.008836	4.521796
170	0.975349	4.410330
171	0.943840	4.162645
172	0.974359	4.055909
173	1.084380	4.398148
174	0.986614	4.339276
175	1.012374	4.392972
176	0.979242	4.301785
177	1.013036	4.357864
178	1.008526	4.395019
179	1.027774	4.517088
180	0.997761	4.506974
181	1.020233	4.598161
182	1.034709	4.757760
183	1.009723	4.804018
184	1.024312	4.920811
185	0.978676	4.815879
186	1.056345	5.087230
187	0.988195	5.027178
188	1.018845	5.121914
189	1.058615	5.422137
190	1.007216	5.461265
191	1.033477	5.644091
192	1.017222	5.741295
193	1.163318	6.678951
194	0.914292	6.106513
195	0.855211	5.222360
196	1.200342	6.268619
197	1.001727	6.279445
198	1.074342	6.746269
199	1.050857	7.089366
200	1.015303	7.197852
201	0.977588	7.036533
202	1.011582	7.118028
203	1.009458	7.185350
204	0.983609	7.067576
205	0.943836	6.670631
206	0.989063	6.597676
207	0.959994	6.333727
208	0.958330	6.069801
209	0.899881	5.462100
210	0.999998	5.462091
211	1.035585	5.656458
212	1.032592	5.840815
213	1.009365	5.895513
214	0.964390	5.685574
215	0.997644	5.672178
216	1.085190	6.155393
217	1.022718	6.295230
218	1.009577	6.355521
219	0.982562	6.244691
220	1.030549	6.435463
221	1.033630	6.651885
222	0.996295	6.627236
223	0.992176	6.575384
224	1.046299	6.879821
225	0.998237	6.867693
226	1.010351	6.938783
227	1.023663	7.102974
228	1.041643	7.398766
229	1.088828	8.055983
230	0.985935	7.942675
231	1.034397	8.215876
232	1.119722	9.199502
233	1.021674	9.398895
234	1.003427	9.431102
235	1.034801	9.759315
236	1.004920	9.807330
237	0.992875	9.737454
238	1.033896	10.067517
239	1.012191	10.190252
240	0.994449	10.133686
241	1.022575	10.362452
242	1.023422	10.605162
243	1.056258	11.201787
244	0.995366	11.149876
245	1.010392	11.265747
246	0.992636	11.182788
247	1.033135	11.553327
248	0.939111	10.849859
249	1.349864	14.645831
250	1.020978	14.953078
251	1.031507	15.424207
252	0.973332	15.012875
253	1.011378	15.183688
254	1.012942	15.380203
255	1.028849	15.823909
256	0.983754	15.566837
257	1.002092	15.599407
258	1.079856	16.845110
259	0.983832	16.572762
260	1.016528	16.846685
261	1.035143	17.438733
262	1.008460	17.586260
263	1.017020	17.885582
264	1.039284	18.588207
