Running strategy cwmr_var_start on dataset dja
Start Time: 2011-1003-12-39-30-938
-------------------------------------
Parameters [phi: 2.000000, epsilon: 0.500000, tc: 0.000000]
day	 Daily Return	 Total return
1	1.000491	1.000491
2	0.998869	0.999359
3	1.002616	1.001974
4	1.000999	1.002975
5	0.999141	1.002113
6	1.000000	1.002113
7	1.002075	1.004193
8	0.999556	1.003747
9	0.998054	1.001794
10	0.999760	1.001554
11	0.998743	1.000295
12	1.001185	1.001480
13	0.998881	1.000360
14	0.999819	1.000179
15	1.000360	1.000539
16	1.000000	1.000539
17	1.001003	1.001543
18	0.998556	1.000097
19	1.002665	1.002762
20	0.999704	1.002466
21	0.998902	1.001365
22	0.999048	1.000411
23	1.000780	1.001192
24	1.001320	1.002513
25	1.000561	1.003076
26	0.999664	1.002738
27	0.997990	1.000723
28	1.001007	1.001730
29	1.000446	1.002177
30	1.000280	1.002458
31	1.000621	1.003081
32	0.997729	1.000803
33	0.999703	1.000505
34	1.000599	1.001104
35	1.000000	1.001104
36	1.002012	1.003119
37	1.000000	1.003119
38	1.000244	1.003364
39	1.002016	1.005387
40	0.999663	1.005048
41	1.000669	1.005720
42	1.000000	1.005720
43	0.999901	1.005621
44	0.999431	1.005049
45	1.000624	1.005676
46	1.000569	1.006249
47	1.000282	1.006533
48	0.998860	1.005386
49	1.000261	1.005648
50	1.000604	1.006256
51	0.999800	1.006055
52	1.000000	1.006055
53	1.000000	1.006055
54	1.000000	1.006055
55	1.000000	1.006055
56	0.999103	1.005152
57	1.000604	1.005759
58	1.000000	1.005759
59	1.001779	1.007549
60	0.993915	1.001418
61	1.001494	1.002914
62	0.999327	1.002239
63	1.000557	1.002797
64	1.000000	1.002797
65	0.996599	0.999387
66	0.997970	0.997358
67	1.004124	1.001471
68	0.998358	0.999826
69	1.000561	1.000387
70	1.000526	1.000914
71	1.003083	1.004000
72	1.000000	1.004000
73	0.998830	1.002826
74	1.000585	1.003413
75	1.001025	1.004441
76	1.000381	1.004824
77	1.000000	1.004824
78	0.999442	1.004263
79	1.000299	1.004563
80	0.998108	1.002663
81	1.001026	1.003691
82	0.999368	1.003057
83	1.000000	1.003057
84	1.000386	1.003444
85	1.000000	1.003444
86	1.000110	1.003555
87	1.000000	1.003555
88	1.000674	1.004231
89	0.998978	1.003204
90	1.000000	1.003204
91	1.000000	1.003204
92	0.999099	1.002301
93	1.001678	1.003982
94	1.000000	1.003982
95	1.000193	1.004176
96	0.999556	1.003730
97	1.000191	1.003921
98	1.000810	1.004734
99	0.999635	1.004368
100	0.999369	1.003734
101	1.002097	1.005838
102	1.000368	1.006209
103	1.000000	1.006209
104	0.998981	1.005183
105	0.998951	1.004129
106	0.999368	1.003494
107	1.002233	1.005735
108	1.000000	1.005735
109	0.998656	1.004383
110	1.001020	1.005408
111	1.000634	1.006045
112	1.000712	1.006761
113	1.000000	1.006761
114	0.999505	1.006263
115	0.999441	1.005701
116	1.000527	1.006231
117	0.999270	1.005496
118	0.999666	1.005160
119	0.998650	1.003803
120	1.000000	1.003803
121	0.998978	1.002777
122	1.000000	1.002777
123	1.000000	1.002777
124	0.999885	1.002661
125	1.000608	1.003271
126	1.000000	1.003271
127	1.000262	1.003534
128	0.998422	1.001950
129	0.999352	1.001301
130	1.001025	1.002327
131	1.000583	1.002911
132	1.000554	1.003467
133	1.000596	1.004065
134	1.000528	1.004596
135	0.999952	1.004547
136	1.000000	1.004547
137	1.000895	1.005446
138	1.001215	1.006667
139	1.000655	1.007327
140	1.000369	1.007698
141	1.000000	1.007698
142	1.001026	1.008732
143	1.000143	1.008875
144	1.000676	1.009558
145	1.000000	1.009558
146	1.001352	1.010923
147	1.000000	1.010923
148	1.000633	1.011563
149	1.001170	1.012746
150	1.001048	1.013807
151	1.000000	1.013807
152	1.001168	1.014992
153	1.000000	1.014992
154	1.000285	1.015281
155	1.000000	1.015281
156	1.000529	1.015817
157	1.000055	1.015874
158	0.999714	1.015584
159	1.001024	1.016623
160	1.000521	1.017152
161	1.000858	1.018025
162	1.000000	1.018025
163	1.001117	1.019162
164	1.001022	1.020204
165	1.000183	1.020391
166	1.001022	1.021434
167	1.000000	1.021434
168	1.001024	1.022479
169	0.999441	1.021908
170	0.999707	1.021608
171	1.000000	1.021608
172	0.999262	1.020854
173	0.999776	1.020626
174	1.000000	1.020626
175	1.000829	1.021473
176	1.000635	1.022121
177	0.999752	1.021867
178	1.000677	1.022559
179	1.000400	1.022968
180	1.000000	1.022968
181	0.999243	1.022193
182	1.000000	1.022193
183	1.000000	1.022193
184	1.000000	1.022193
185	1.000000	1.022193
186	0.999659	1.021845
187	1.000636	1.022495
188	1.000000	1.022495
189	1.000000	1.022495
190	1.000000	1.022495
191	1.000604	1.023112
192	1.001007	1.024142
193	0.999469	1.023599
194	1.000000	1.023599
195	0.999503	1.023089
196	1.001064	1.024178
197	0.999450	1.023615
198	1.000157	1.023775
199	1.000000	1.023775
200	1.000367	1.024151
201	1.001122	1.025300
202	1.000000	1.025300
203	0.998729	1.023996
204	1.000000	1.023996
205	1.000000	1.023996
206	1.000000	1.023996
207	1.002055	1.026101
208	1.000535	1.026651
209	1.000713	1.027382
210	1.000000	1.027382
211	1.000678	1.028079
212	1.001025	1.029132
213	1.000000	1.029132
214	1.001429	1.030603
215	1.000000	1.030603
216	1.000000	1.030603
217	0.998643	1.029205
218	0.999321	1.028505
219	0.999320	1.027806
220	1.000000	1.027806
221	1.000000	1.027806
222	1.001025	1.028859
223	1.000303	1.029171
224	1.000999	1.030199
225	1.000423	1.030635
226	0.999198	1.029808
227	1.000000	1.029808
228	0.999654	1.029452
229	0.999429	1.028864
230	1.000529	1.029409
231	0.999833	1.029237
232	1.000469	1.029721
233	1.000018	1.029739
234	1.002047	1.031847
235	1.000282	1.032138
236	1.000000	1.032138
237	0.999319	1.031435
238	1.000000	1.031435
239	1.001271	1.032746
240	0.999537	1.032268
241	0.999450	1.031701
242	1.000096	1.031799
243	1.000995	1.032826
244	0.999611	1.032424
245	1.000738	1.033186
246	0.999375	1.032540
247	0.999470	1.031993
248	0.999316	1.031287
249	0.999447	1.030717
250	1.000000	1.030717
251	1.000000	1.030717
252	0.998976	1.029662
253	1.001025	1.030717
254	1.000000	1.030717
255	0.999428	1.030127
256	0.997449	1.027499
257	1.000000	1.027499
258	1.002252	1.029812
259	1.000791	1.030626
260	1.000000	1.030626
261	0.999473	1.030083
262	1.000565	1.030665
263	1.000000	1.030665
264	1.000096	1.030764
265	1.000000	1.030764
266	0.997947	1.028648
267	0.999314	1.027942
268	0.999857	1.027795
269	1.000304	1.028108
270	1.001064	1.029201
271	1.000717	1.029939
272	1.001026	1.030995
273	1.000342	1.031348
274	1.000532	1.031897
275	1.000000	1.031897
276	0.999413	1.031291
277	1.000454	1.031760
278	1.000000	1.031760
279	1.000000	1.031760
280	0.999798	1.031552
281	1.000263	1.031823
282	1.000101	1.031927
283	1.000000	1.031927
284	1.000000	1.031927
285	1.000000	1.031927
286	1.000000	1.031927
287	1.000498	1.032441
288	1.000000	1.032441
289	0.999851	1.032288
290	1.000000	1.032288
291	0.999394	1.031662
292	1.000371	1.032045
293	1.000000	1.032045
294	1.000000	1.032045
295	1.001280	1.033365
296	0.999435	1.032782
297	1.001025	1.033840
298	1.000192	1.034038
299	1.000641	1.034701
300	1.001353	1.036101
301	1.000466	1.036584
302	0.999360	1.035921
303	1.001024	1.036982
304	1.000313	1.037306
305	1.000743	1.038077
306	1.000000	1.038077
307	1.000511	1.038608
308	1.000000	1.038608
309	1.000743	1.039380
310	1.000105	1.039488
311	0.999095	1.038548
312	1.000000	1.038548
313	1.000455	1.039021
314	1.000303	1.039336
