Running strategy cwmr_var_start on dataset ndx
Start Time: 2011-1003-12-40-07-133
-------------------------------------
Parameters [phi: 2.000000, epsilon: 0.500000, tc: 0.000000]
day	 Daily Return	 Total return
1	1.000803	1.000803
2	0.999774	1.000576
3	1.001361	1.001938
4	1.000421	1.002360
5	0.995988	0.998338
6	0.998862	0.997203
7	1.000756	0.997956
8	0.997588	0.995549
9	1.005167	1.000693
10	1.001724	1.002418
11	0.998154	1.000568
12	1.003541	1.004111
13	1.001455	1.005572
14	0.997305	1.002861
15	0.997523	1.000377
16	1.001355	1.001732
17	0.996512	0.998238
18	1.002389	1.000623
19	1.004016	1.004641
20	0.999903	1.004544
21	0.999291	1.003832
22	0.999611	1.003442
23	1.001481	1.004928
24	1.003275	1.008219
25	0.999868	1.008086
26	0.997291	1.005355
27	1.000000	1.005355
28	1.002074	1.007440
29	1.000633	1.008077
30	1.000677	1.008759
31	1.001068	1.009836
32	0.999616	1.009449
33	0.999632	1.009077
34	0.998933	1.008001
35	1.000000	1.008001
36	0.999485	1.007482
37	0.999089	1.006564
38	1.000445	1.007012
39	1.001294	1.008316
40	0.999746	1.008060
41	1.000916	1.008983
42	1.000862	1.009853
43	1.000000	1.009853
44	1.000385	1.010243
45	1.000697	1.010947
46	0.999272	1.010211
47	0.997648	1.007836
48	0.999214	1.007044
49	0.999767	1.006809
50	1.000000	1.006809
51	1.000167	1.006977
52	1.000623	1.007605
53	0.999033	1.006631
54	1.000443	1.007077
55	1.001150	1.008235
56	1.001679	1.009928
57	0.999410	1.009332
58	0.998855	1.008177
59	1.002644	1.010842
60	0.998622	1.009449
61	1.000000	1.009449
62	1.000924	1.010382
63	1.000728	1.011117
64	0.998146	1.009242
65	0.998454	1.007682
66	0.995206	1.002851
67	1.002926	1.005786
68	0.995763	1.001524
69	0.998795	1.000318
70	0.998513	0.998831
71	1.002613	1.001441
72	1.000000	1.001441
73	1.000805	1.002246
74	0.999626	1.001872
75	0.999364	1.001234
76	1.000000	1.001234
77	0.998273	0.999505
78	1.001429	1.000933
79	1.002806	1.003742
80	0.997263	1.000995
81	1.000708	1.001703
82	0.999404	1.001106
83	1.001882	1.002990
84	1.000419	1.003411
85	1.000000	1.003411
86	1.000767	1.004180
87	0.999076	1.003252
88	1.001273	1.004530
89	0.999850	1.004379
90	1.001554	1.005940
91	1.002095	1.008047
92	1.001264	1.009321
93	0.998645	1.007954
94	1.000927	1.008888
95	1.001136	1.010034
96	1.000720	1.010762
97	1.000761	1.011531
98	1.000749	1.012288
99	1.001575	1.013883
100	1.000645	1.014537
101	1.001880	1.016444
102	1.001819	1.018293
103	1.000388	1.018688
104	0.998420	1.017079
105	0.998199	1.015247
106	0.999680	1.014922
107	1.001131	1.016070
108	1.001040	1.017127
109	0.999301	1.016416
110	1.001359	1.017797
111	1.000192	1.017993
112	1.005391	1.023481
113	1.000575	1.024070
114	1.000379	1.024457
115	0.998636	1.023060
116	1.001803	1.024905
117	0.999245	1.024131
118	0.998996	1.023103
119	0.999640	1.022734
120	1.001351	1.024115
121	1.000000	1.024115
122	0.999181	1.023276
123	1.000183	1.023463
124	1.000302	1.023773
125	1.001896	1.025714
126	0.999367	1.025065
127	0.999073	1.024115
128	1.000000	1.024115
129	0.997279	1.021328
130	1.002729	1.024115
131	0.998399	1.022475
132	0.999800	1.022270
133	1.000992	1.023284
134	1.000632	1.023931
135	1.000000	1.023931
136	0.998987	1.022893
137	1.000000	1.022893
138	1.001683	1.024615
139	0.999770	1.024379
140	0.999419	1.023784
141	0.999357	1.023126
142	1.001494	1.024654
143	1.000830	1.025504
144	0.998675	1.024146
145	1.000000	1.024146
146	1.000000	1.024146
147	0.999780	1.023920
148	1.001401	1.025354
149	0.999145	1.024478
150	1.001246	1.025755
151	1.000000	1.025755
152	1.000000	1.025755
153	1.000737	1.026511
154	0.999678	1.026180
155	1.000000	1.026180
156	1.001228	1.027440
157	1.000738	1.028198
158	1.000026	1.028225
159	0.997513	1.025668
160	1.000202	1.025874
161	1.000715	1.026608
162	0.998156	1.024715
163	1.000462	1.025188
164	1.000642	1.025847
165	1.000266	1.026119
166	0.999937	1.026055
167	1.000000	1.026055
168	1.001175	1.027261
169	1.000700	1.027980
170	1.000703	1.028703
171	0.999712	1.028407
172	1.000795	1.029225
173	1.000000	1.029225
174	0.997455	1.026605
175	1.000531	1.027150
176	0.999385	1.026518
177	1.000129	1.026650
178	1.000000	1.026650
179	1.001219	1.027902
180	1.000000	1.027902
181	1.001366	1.029306
182	0.997877	1.027120
183	1.000000	1.027120
184	1.000400	1.027531
185	1.001065	1.028625
186	1.000773	1.029420
187	1.000000	1.029420
188	0.999382	1.028783
189	1.001394	1.030218
