Running strategy cwmr_var_start on dataset week_nyse_o
Start Time: 2011-1003-12-41-34-351
-------------------------------------
Parameters [phi: 2.000000, epsilon: 0.500000, tc: 0.000000]
day	 Daily Return	 Total return
1	1.041820	1.041820
2	0.991153	1.032602
3	0.972138	1.003832
4	1.000002	1.003834
5	1.063024	1.067100
6	1.007542	1.075148
7	1.005031	1.080556
8	0.973339	1.051747
9	0.976715	1.027257
10	1.032030	1.060161
11	0.971812	1.030277
12	0.954545	0.983446
13	1.031453	1.014378
14	1.030178	1.044991
15	0.983428	1.027673
16	0.935475	0.961362
17	0.972339	0.934771
18	1.004674	0.939139
19	1.010257	0.948772
20	0.999831	0.948612
21	0.963697	0.914174
22	1.000001	0.914176
23	0.989330	0.904421
24	0.922281	0.834130
25	0.989346	0.825244
26	1.143542	0.943701
27	1.003159	0.946683
28	1.003782	0.950263
29	0.990493	0.941228
30	1.045100	0.983678
31	0.922357	0.907302
32	1.169946	1.061495
33	0.990565	1.051480
34	0.985175	1.035892
35	1.024988	1.061777
36	1.099997	1.167952
37	0.992748	1.159482
38	1.003421	1.163448
39	0.999772	1.163183
40	1.016271	1.182110
41	1.086541	1.284410
42	0.989427	1.270831
43	1.017513	1.293087
44	0.999999	1.293086
45	1.039851	1.344617
46	1.015581	1.365568
47	0.998347	1.363311
48	0.990195	1.349944
49	0.920976	1.243266
50	0.900000	1.118940
51	1.111114	1.243270
52	1.006301	1.251104
53	0.992004	1.241100
54	0.989628	1.228227
55	1.035092	1.271327
56	0.960209	1.220740
57	1.005116	1.226985
58	1.005866	1.234182
59	1.049090	1.294768
60	1.003418	1.299194
61	1.016770	1.320982
62	0.986869	1.303636
63	1.046401	1.364126
64	1.029889	1.404898
65	1.002516	1.408433
66	0.992493	1.397860
67	1.074586	1.502121
68	0.964788	1.449228
69	0.984820	1.427229
70	0.993628	1.418135
71	1.004430	1.424418
72	1.016169	1.447449
73	0.999378	1.446548
74	0.936263	1.354350
75	0.961029	1.301570
76	0.975612	1.269828
77	1.022930	1.298945
78	1.023501	1.329471
79	0.990279	1.316548
80	1.024519	1.348829
81	1.046822	1.411984
82	1.006416	1.421043
83	0.980659	1.393559
84	0.998661	1.391694
85	1.049532	1.460627
86	1.035910	1.513077
87	1.001939	1.516011
88	1.021470	1.548559
89	0.971320	1.504146
90	0.975168	1.466795
91	0.927825	1.360929
92	0.998329	1.358655
93	0.987419	1.341561
94	1.049780	1.408344
95	1.010848	1.423621
96	1.014073	1.443656
97	0.982433	1.418296
98	1.031838	1.463451
99	1.032867	1.511551
100	1.003116	1.516261
101	1.026026	1.555723
102	0.985253	1.532782
103	1.024002	1.569571
104	0.996719	1.564422
105	1.053504	1.648124
106	1.000651	1.649197
107	1.054857	1.739667
108	0.994553	1.730191
109	0.973294	1.683985
110	0.969446	1.632533
111	1.037049	1.693016
112	1.012578	1.714311
113	1.037200	1.778083
114	1.006415	1.789490
115	1.030186	1.843508
116	1.012615	1.866763
117	1.039915	1.941274
118	0.968450	1.880027
119	1.046143	1.966777
120	0.980624	1.928669
121	0.940168	1.813272
122	1.105261	2.004138
