Running strategy market_start on dataset ndx
Start Time: 2011-1003-12-40-56-381
-------------------------------------
Parameters [tc:0.000000]
day	 Daily Return	 Total return
1	1.000803	1.000803
2	1.001358	1.002162
3	1.000238	1.002400
4	0.999274	1.001672
5	0.999583	1.001254
6	1.000077	1.001331
7	0.999890	1.001221
8	0.999405	1.000625
9	0.998886	0.999510
10	0.999570	0.999080
11	0.998893	0.997974
12	1.000217	0.998190
13	1.000242	0.998431
14	1.000094	0.998525
15	1.000496	0.999020
16	0.999099	0.998119
17	0.999475	0.997595
18	1.000371	0.997965
19	1.000763	0.998727
20	0.998383	0.997112
21	0.998941	0.996056
22	0.999836	0.995893
23	1.000076	0.995969
24	1.000570	0.996536
25	0.999958	0.996494
26	0.999707	0.996202
27	1.000391	0.996592
28	0.999980	0.996571
29	1.000138	0.996709
30	0.999264	0.995976
31	0.999817	0.995794
32	0.998926	0.994724
33	0.999254	0.993982
34	1.000080	0.994061
35	1.000392	0.994450
36	1.000295	0.994744
37	0.999030	0.993779
38	0.999663	0.993444
39	1.000615	0.994055
40	0.999763	0.993819
41	0.998486	0.992314
42	1.000282	0.992594
43	0.999989	0.992583
44	0.999876	0.992459
45	1.000274	0.992731
46	0.999674	0.992408
47	1.000154	0.992561
48	0.998846	0.991416
49	1.000063	0.991478
50	1.000205	0.991681
51	1.000083	0.991763
52	1.000301	0.992062
53	0.999769	0.991833
54	0.999707	0.991542
55	1.000317	0.991857
56	0.999865	0.991723
57	0.999892	0.991615
58	0.999853	0.991469
59	1.000298	0.991765
60	0.995698	0.987498
61	1.000336	0.987830
62	0.998771	0.986616
63	0.999891	0.986508
64	0.999878	0.986388
65	0.997705	0.984124
66	0.998769	0.982912
67	1.000495	0.983398
68	0.997333	0.980776
69	0.999908	0.980685
70	0.999840	0.980529
71	1.001565	0.982063
72	0.999833	0.981899
73	1.000670	0.982557
74	1.000808	0.983351
75	1.000607	0.983947
76	1.000145	0.984090
77	1.000610	0.984690
78	0.999696	0.984391
79	0.999889	0.984281
80	0.998357	0.982665
81	1.000109	0.982772
82	0.999563	0.982342
83	0.999541	0.981891
84	1.000568	0.982448
85	1.000669	0.983105
86	1.000145	0.983247
87	1.000498	0.983737
